,Well/XY,cell_id,group
0,WellB02_Seq0000/xy07,0,1
1,WellB02_Seq0000/xy21,0,2
2,WellB03_Seq0001/xy10,0,1
3,WellB03_Seq0001/xy17,0,2
4,WellB03_Seq0001/xy20,0,2
5,WellB03_Seq0001/xy22,0,3
6,WellB03_Seq0001/xy24,0,3
7,WellB04_Seq0002/xy03,0,1
8,WellB04_Seq0002/xy13,0,1
9,WellB04_Seq0002/xy22,0,3
10,WellB04_Seq0002/xy24,0,1
11,WellB05_Seq0003/xy03,0,1
12,WellB05_Seq0003/xy04,0,1
13,WellB05_Seq0003/xy05,0,1
14,WellB05_Seq0003/xy12,0,3
15,WellB05_Seq0003/xy15,0,3
16,WellB05_Seq0003/xy16,0,1
17,WellB05_Seq0003/xy18,0,3
18,WellB05_Seq0003/xy18,1,2
19,WellB05_Seq0003/xy20,0,1
20,WellB05_Seq0003/xy23,0,3
21,WellB06_Seq0004/xy03,0,1
22,WellB06_Seq0004/xy06,0,3
23,WellB06_Seq0004/xy07,0,1
24,WellB06_Seq0004/xy08,0,3
25,WellB06_Seq0004/xy14,0,1
26,WellB07_Seq0005/xy07,0,1
27,WellB07_Seq0005/xy12,0,2
28,WellB07_Seq0005/xy14,0,3
29,WellB07_Seq0005/xy20,0,1
30,WellB08_Seq0006/xy01,0,2
31,WellB08_Seq0006/xy05,0,1
32,WellB08_Seq0006/xy11,0,1
33,WellB08_Seq0006/xy12,0,3
34,WellB08_Seq0006/xy23,0,3
35,WellB09_Seq0007/xy09,0,1
36,WellB09_Seq0007/xy10,0,2
37,WellB09_Seq0007/xy13,0,1
38,WellB09_Seq0007/xy13,1,1
39,WellB09_Seq0007/xy15,0,1
40,WellB09_Seq0007/xy16,0,1
41,WellB09_Seq0007/xy17,0,3
42,WellB09_Seq0007/xy20,0,3
43,WellB09_Seq0007/xy20,1,1
44,WellB09_Seq0007/xy20,2,2
45,WellB10_Seq0008/xy12,0,2
46,WellB10_Seq0008/xy16,0,1
47,WellB10_Seq0008/xy16,1,3
48,WellB10_Seq0008/xy17,0,2
49,WellB10_Seq0008/xy17,1,2
50,WellB10_Seq0008/xy20,0,1
51,WellB10_Seq0008/xy22,0,3
52,WellB10_Seq0008/xy23,0,1
53,WellB10_Seq0008/xy24,0,3
54,WellB11_Seq0009/xy03,0,3
55,WellB11_Seq0009/xy05,0,2
56,WellB11_Seq0009/xy07,0,3
57,WellB11_Seq0009/xy07,1,1
58,WellB11_Seq0009/xy08,0,2
59,WellB11_Seq0009/xy08,1,2
60,WellB11_Seq0009/xy11,0,3
61,WellB11_Seq0009/xy13,0,1
62,WellB11_Seq0009/xy14,0,3
63,WellB11_Seq0009/xy16,0,1
64,WellB11_Seq0009/xy17,0,3
65,WellB11_Seq0009/xy18,0,1
66,WellB11_Seq0009/xy19,0,1
67,WellB11_Seq0009/xy20,0,1
68,WellB11_Seq0009/xy25,0,1
69,WellC02_Seq0019/xy01,0,1
70,WellC02_Seq0019/xy07,0,3
71,WellC02_Seq0019/xy14,0,2
72,WellC02_Seq0019/xy15,0,2
73,WellC02_Seq0019/xy16,0,1
74,WellC03_Seq0018/xy01,0,1
75,WellC03_Seq0018/xy02,0,3
76,WellC03_Seq0018/xy03,0,1
77,WellC03_Seq0018/xy10,0,1
78,WellC03_Seq0018/xy11,0,2
79,WellC03_Seq0018/xy11,1,1
80,WellC03_Seq0018/xy15,0,3
81,WellC04_Seq0017/xy01,0,3
82,WellC04_Seq0017/xy01,1,1
83,WellC04_Seq0017/xy02,0,3
84,WellC04_Seq0017/xy07,0,1
85,WellC04_Seq0017/xy15,0,3
86,WellC04_Seq0017/xy16,0,1
87,WellC04_Seq0017/xy18,0,2
88,WellC04_Seq0017/xy19,0,1
89,WellC05_Seq0016/xy05,0,1
90,WellC05_Seq0016/xy12,0,2
91,WellC05_Seq0016/xy14,0,3
92,WellC05_Seq0016/xy21,0,3
93,WellC05_Seq0016/xy25,0,1
94,WellC06_Seq0015/xy04,0,1
95,WellC06_Seq0015/xy17,0,3
96,WellC07_Seq0014/xy16,0,3
97,WellC07_Seq0014/xy17,0,1
98,WellC07_Seq0014/xy17,1,2
99,WellC07_Seq0014/xy24,0,3
100,WellC07_Seq0014/xy24,1,1
101,WellC08_Seq0013/xy03,0,3
102,WellC08_Seq0013/xy03,1,2
103,WellC08_Seq0013/xy08,0,1
104,WellC08_Seq0013/xy12,0,3
105,WellC08_Seq0013/xy17,0,2
106,WellC08_Seq0013/xy18,0,1
107,WellC08_Seq0013/xy19,0,3
108,WellC08_Seq0013/xy23,0,3
109,WellC09_Seq0012/xy12,0,1
110,WellC09_Seq0012/xy12,1,1
111,WellC09_Seq0012/xy18,0,1
112,WellC09_Seq0012/xy19,0,3
113,WellC09_Seq0012/xy20,0,1
114,WellC09_Seq0012/xy21,0,3
115,WellC10_Seq0011/xy15,0,2
116,WellC10_Seq0011/xy16,0,3
117,WellC11_Seq0010/xy05,0,3
118,WellC11_Seq0010/xy05,1,1
119,WellC11_Seq0010/xy06,0,1
120,WellC11_Seq0010/xy07,0,3
121,WellC11_Seq0010/xy07,1,2
122,WellC11_Seq0010/xy07,2,3
123,WellC11_Seq0010/xy14,0,1
124,WellC11_Seq0010/xy19,0,1
125,WellC11_Seq0010/xy24,0,3
126,WellC11_Seq0010/xy25,0,2
