Well/XY,cell_id,group
WellB02_Seq0000/xy10,0,2
WellB03_Seq0001/xy15,0,2
WellB03_Seq0001/xy15,1,2
WellB04_Seq0002/xy03,0,2
WellB04_Seq0002/xy18,0,3
WellB04_Seq0002/xy22,0,2
WellB05_Seq0003/xy03,0,3
WellB05_Seq0003/xy16,0,3
WellB05_Seq0003/xy16,1,3
WellB05_Seq0003/xy22,0,3
WellB06_Seq0004/xy07,0,2
WellB06_Seq0004/xy14,0,2
WellB06_Seq0004/xy14,1,2
WellB06_Seq0004/xy14,2,2
WellB06_Seq0004/xy15,0,2
WellB06_Seq0004/xy23,0,2
WellB06_Seq0004/xy23,1,2
WellB07_Seq0005/xy19,0,2
WellB09_Seq0007/xy06,0,2
WellB09_Seq0007/xy06,1,2
WellC02_Seq0017/xy13,0,3
WellC04_Seq0015/xy01,0,2
WellC04_Seq0015/xy18,0,2
WellC04_Seq0015/xy18,1,2
WellC04_Seq0015/xy18,2,2
WellC04_Seq0015/xy19,0,3
WellC04_Seq0015/xy22,0,3
WellC04_Seq0015/xy23,0,1
WellC05_Seq0014/xy11,0,2
WellC05_Seq0014/xy11,1,3
WellC05_Seq0014/xy19,0,3
WellC07_Seq0012/xy02,0,2
WellC08_Seq0011/xy19,0,2
WellC08_Seq0011/xy21,0,2
WellC08_Seq0011/xy21,1,2
WellC08_Seq0011/xy21,2,2
WellC09_Seq0010/xy02,0,2
WellC09_Seq0010/xy04,0,2
WellC09_Seq0010/xy19,0,3
WellC10_Seq0009/xy06,0,2
WellD04_Seq0020/xy10,0,2
WellD04_Seq0020/xy10,1,2
WellD04_Seq0020/xy18,0,2
WellD05_Seq0021/xy23,0,2
WellD06_Seq0022/xy03,0,2
WellD06_Seq0022/xy07,0,3
WellD06_Seq0022/xy09,0,2
WellD06_Seq0022/xy13,0,3
WellD06_Seq0022/xy15,0,2
WellD06_Seq0022/xy17,0,2
WellD06_Seq0022/xy19,0,2
WellD06_Seq0022/xy21,0,3
WellD06_Seq0022/xy22,0,2
WellD06_Seq0022/xy22,1,2
WellD07_Seq0023/xy01,0,2
WellD07_Seq0023/xy01,1,3
WellD07_Seq0023/xy01,2,2
WellD07_Seq0023/xy06,0,2
WellD07_Seq0023/xy07,0,2
WellD07_Seq0023/xy08,0,2
WellD07_Seq0023/xy10,0,2
WellD07_Seq0023/xy10,1,2
WellD07_Seq0023/xy10,2,2
WellD07_Seq0023/xy17,0,3
WellD07_Seq0023/xy24,0,2
WellD07_Seq0023/xy25,0,2
WellD08_Seq0024/xy03,0,2
WellD08_Seq0024/xy07,0,2
WellD08_Seq0024/xy07,1,3
WellD08_Seq0024/xy07,2,2
WellD09_Seq0025/xy20,0,2
WellD09_Seq0025/xy25,0,3
WellE02_Seq0035/xy02,0,3
WellE02_Seq0035/xy22,0,2
WellE04_Seq0033/xy12,0,2
WellE04_Seq0033/xy15,0,2
WellE05_Seq0032/xy03,0,2
WellE05_Seq0032/xy06,0,2
WellE05_Seq0032/xy07,0,2
WellE05_Seq0032/xy12,0,3
WellE05_Seq0032/xy24,0,2
WellE06_Seq0031/xy02,0,2
WellE06_Seq0031/xy02,1,2
WellE06_Seq0031/xy09,0,3
WellE06_Seq0031/xy19,0,2
WellE07_Seq0030/xy04,0,2
WellE07_Seq0030/xy05,0,3
WellE07_Seq0030/xy05,1,2
WellE07_Seq0030/xy16,0,2
WellE07_Seq0030/xy16,1,2
WellE07_Seq0030/xy21,0,3
WellE07_Seq0030/xy21,1,2
WellE07_Seq0030/xy22,0,2
WellE07_Seq0030/xy22,1,2
WellE08_Seq0029/xy02,0,3
WellE09_Seq0028/xy05,0,2
WellE09_Seq0028/xy16,0,2
WellE10_Seq0027/xy11,0,2
