Well/XY,cell_id,total_distance,net_distance,linearity,spearmanrsq,progressivity,max_speed,min_speed,avg_speed,MSD_slope,hurst_RS,nongauss,disp_var,disp_skew,rw_linearity,rw_netdist,rw_kurtosis01,rw_kurtosis02,rw_kurtosis03,rw_kurtosis04,rw_kurtosis05,rw_kurtosis06,rw_kurtosis07,rw_kurtosis08,rw_kurtosis09,rw_kurtosis10,avg_moving_speed01,avg_moving_speed02,avg_moving_speed03,avg_moving_speed04,avg_moving_speed05,avg_moving_speed06,avg_moving_speed07,avg_moving_speed08,avg_moving_speed09,avg_moving_speed10,time_moving01,time_moving02,time_moving03,time_moving04,time_moving05,time_moving06,time_moving07,time_moving08,time_moving09,time_moving10,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,autocorr_6,autocorr_7,autocorr_8,autocorr_9,autocorr_10,p_rturn_9_5,p_rturn_9_6,p_rturn_10_5,p_rturn_10_6,p_rturn_11_5,p_rturn_11_6,mean_theta_9_5,min_theta_9_5,max_theta_9_5,mean_theta_9_6,min_theta_9_6,max_theta_9_6,mean_theta_10_5,min_theta_10_5,max_theta_10_5,mean_theta_10_6,min_theta_10_6,max_theta_10_6,mean_theta_11_5,min_theta_11_5,max_theta_11_5,mean_theta_11_6,min_theta_11_6,max_theta_11_6
WellB02_Seq0000/xy25,0-0,244.05428388876945,16.65514034765248,1.26001040394e-05,0.0253018741625,0.06824358942719175,4.642501480882917,0.38818552265636386,8.41566496168,0.426618286147,0.773576062886,2.09945605589,84.9669993051,2.9628319841049637,-0.217753542126,-48.5323201401,9.64052312250691,1.4760524025583166,1.5643926077460657,-0.8660399415843756,-1.2852248762695375,-1.9531061379970074,-0.854524322380763,-1.4999999999999998,-1.4999999999999998,-2.0,2.97776701786,3.49525323682,3.83603166671,4.85240462847,6.24097203967,6.24097203967,0.0,0.0,0.0,0.0,0.88,0.64,0.48,0.16,0.04,0.04,0.0,0.0,0.0,0.0,0.211349915524,0.386573613909,0.0315320653012,0.137636983266,0.00639697432981,-0.0143231947984,-0.0142652723646,-0.0517994769506,-0.164847758471,-0.205336329578,0.8125,0.8,0.8,0.714285714286,0.642857142857,0.615384615385,0.933735986944,0.017894037730143846,2.337092684540301,0.901403041758,0.018821427331354567,2.2191724415002643,0.81703959741,0.004891899385432482,1.9954861518905465,0.852673928385,0.01044818008696024,1.9451003440032157,0.797845478733,0.003235686810470103,1.7027432558334998,0.757517641292,0.1128001119035734,1.6523574479461691
WellB02_Seq0000/xy25,0-1,544.6202205698107,72.14369133888285,0.0873380210321,0.0868905136222,0.13246605361696315,14.140905204406106,0.9018669524935478,18.7800076059,0.568340027665,0.852127204154,0.276715218827,201.259973852,1.7279747275317698,-0.126717764309,-73.3256220594,3.0469707073187955,-1.332094364031068,-1.238166189806873,-1.0674708707408265,-1.2742796589187766,-1.7540869294236694,-0.7606988956840475,-1.4999999999999998,-1.5000000000000007,-1.9999999999999998,5.07591138579,5.26094614171,5.82388186129,6.54752942284,7.66940473154,8.7677506774,11.1360878293,12.8353115103,17.1767332168,17.1767332168,0.92,0.88,0.72,0.56,0.36,0.24,0.12,0.08,0.04,0.04,0.591160243004,0.367672593442,0.208724062519,0.253137568045,-0.0905356357658,-0.153824598006,-0.129380607607,0.0186408145734,0.0141981225139,0.0189402554021,0.875,0.866666666667,0.733333333333,0.785714285714,0.785714285714,0.769230769231,0.769162582663,0.11166301360491596,2.043619341007543,0.783694222319,0.08991967888980877,2.0716191361324743,0.705155901579,0.0503185868946757,1.6719993332197478,0.57652184935,0.006788660399215719,1.4696896727223487,0.785109012919,0.00765027236899959,2.347393919839553,0.765874178728,0.05858705341852232,2.1154358979496846
WellB02_Seq0000/xy25,1-0,572.1052077337231,165.04511504434177,0.520125084047,0.334312924631,0.28848734955260064,19.18792328523336,0.8438009243891875,19.7277657839,1.10041754827,0.635193136015,0.28563086818,259.370321754,1.6490044094768046,0.299237379959,12.2344983663,2.423844502743785,-0.5394510122793568,-0.7384337687609803,-1.0280775096275196,-1.4431088181135108,-0.7808814102089534,-1.425701167478916,-1.5000000000000002,-1.5,-1.9999999999999998,9.25881201981,9.25881201981,9.25881201981,10.1090385612,11.4289320413,12.6601485379,13.1121410056,14.082555705,14.6776175716,16.0613060513,0.96,0.96,0.96,0.84,0.68,0.56,0.52,0.44,0.4,0.32,0.160558181963,0.128014664383,-0.0150319925528,0.0476288042564,-0.0125923424138,-0.255735337849,-0.250643498484,-0.259990306526,-0.242687354031,-0.118462492434,0.625,0.666666666667,0.666666666667,0.642857142857,0.642857142857,0.615384615385,1.06070997576,0.13923970596385937,2.5388291652558332,0.902914122804,0.08397154496292998,2.5116863153585904,1.08615966124,0.19963625030416843,2.6807076343680523,1.08148836488,0.1368604207795289,2.6736646916621614,1.12411083065,0.18531463004489435,2.628214613433771,1.16355852954,0.12253880052025508,2.601071763536529
WellB02_Seq0000/xy25,1-1,1265.8952964535613,129.66942584896398,0.754573341068,0.733223591656,0.10243297862961989,30.89213492136792,1.5658863304850916,43.6515619467,0.700155971351,0.992513543211,0.321542090111,1725.59938331,1.3516808335339834,0.514928097318,-208.454119062,1.4466759593125529,0.048638413407434467,3.5143177596498827,1.5653167622730244,0.1178352172728836,-0.8444451014197258,-1.4237054587145965,-1.5,-1.4999999999999998,-1.9999999999999998,10.4491391863,10.8143762841,12.5018962552,12.5018962552,13.388107157,15.6574233802,17.1355558167,18.0376527847,20.1317444179,20.1317444179,1.0,0.96,0.8,0.8,0.72,0.56,0.48,0.44,0.36,0.36,0.499615072284,0.202060578225,0.00914162081572,-0.125380948267,-0.240823649752,0.0260291531309,0.0902505642633,-0.108823285447,-0.310684320403,-0.526639765781,0.5625,0.666666666667,0.533333333333,0.642857142857,0.5,0.615384615385,0.510696113128,0.002321369777462212,1.2430396087694704,0.484432913312,0.024288650286254206,1.1633124920909497,0.502931444575,0.0009430705825625844,1.3575800135076292,0.472724478004,0.003838806297033034,1.3599166962520162,0.54819402715,0.014136860953870855,1.5745352761728908,0.580427573455,0.004407452131849034,1.7652825483919352
WellB04_Seq0002/xy01,0-0,438.247492928322,30.067672008321598,0.192830853768,0.293452990036,0.06860888537527662,18.142879154092366,0.6678353090396222,15.1119825148,0.576899551647,0.539116380068,0.95292207193,162.327633286,2.532840675504347,-0.0346714569925,-86.9892412074,7.748042738203637,2.649259359181862,1.2782417118052436,-0.6551912713001755,-1.1979262564475037,-0.6949253893125453,-0.8429466702065382,-1.5,-1.5,-2.0,6.87437754792,7.90713367052,9.27344382192,9.65450103017,10.4562034453,10.8602378447,13.0182582904,14.8438890347,14.8438890347,14.8438890347,0.96,0.8,0.64,0.6,0.52,0.48,0.32,0.24,0.24,0.24,-0.101839710434,-0.145040186517,0.0382971790957,-0.0999655511179,0.105063619826,-0.283739189923,-0.294851542905,0.316574035912,-0.291222379939,-0.0396272376917,0.4375,0.4,0.4,0.5,0.285714285714,0.307692307692,0.33414857441,0.0044233498161876696,1.6285998430634359,0.377069123649,0.0015411893457783587,1.6181987696238649,0.268945546426,0.01170379168255713,0.7931600173484905,0.309484660049,0.01221237475341998,0.7977293659567433,0.304565662072,0.017664915457126774,0.8598800402513005,0.35021760861,0.016670430450121596,0.8595188304177537
WellB04_Seq0002/xy01,0-1,974.002611795707,69.8248551734983,0.0468964963329,0.141188689447,0.07168857077782023,38.1120359466665,2.312657345998297,33.5862969585,0.311539335189,0.781572693808,0.550443289404,1025.51039375,1.7800799009445587,-0.165628729547,-190.333482388,2.6729950129010556,1.2930013638935334,0.0622660898562013,-1.5643951912051657,-1.7450006961253293,-0.7237925494242314,-1.7423779222996358,-1.5000000000000002,-1.5000000000000002,-2.0,10.1210463407,10.4893324635,11.2193633661,11.9873018961,12.8430880184,14.2914444746,14.8548070436,14.8548070436,15.9086283522,16.4958777659,1.0,0.96,0.88,0.8,0.72,0.6,0.56,0.56,0.48,0.44,0.496529876325,0.172837996383,-0.0826066093161,-0.24563239739,-0.237657934171,-0.266307753858,-0.0244066592665,0.146410943436,0.0332463176847,-0.170040141522,0.875,0.8,0.866666666667,0.857142857143,0.857142857143,0.923076923077,0.704572227197,0.09197978807877022,1.791544347599032,0.695728400807,0.05455309735807423,1.7721599791647218,0.721451907255,0.017343798691993168,1.7438361155747977,0.763160844985,0.08164336073146398,1.737240404479774,0.765626974587,0.1193457973029573,1.751867741970365,0.814448029692,0.19582795720558285,1.7452720308753413
WellB04_Seq0002/xy15,0-0,140.47626011574908,6.601431662904634,0.118529721273,0.0541435287296,0.046993219049718524,5.165710406130005,0.039999999999997725,4.84400896951,0.3727945989,0.73250439569,1.88270413936,33.0452547012,2.8762703399895946,-0.118989985962,-30.9201004727,7.801567210202911,1.995426231678108,-0.3325217573737107,-1.1009610990304646,-1.6662123047889685,-1.0786232588089266,-1.1633555102060564,-1.5000000000000002,-1.4999999999999998,-2.0,2.17461388005,4.19112470603,4.19112470603,5.14091081424,5.14091081424,0.0,0.0,0.0,0.0,0.0,0.4,0.12,0.12,0.04,0.04,0.0,0.0,0.0,0.0,0.0,-0.059897657441,-0.0805590447307,0.503146905661,-0.00944444691058,-0.142369973775,0.0528439405869,0.059559991505,-0.0505977235927,-0.0733733141206,0.0252903517885,0.6875,0.466666666667,0.6,0.714285714286,0.785714285714,0.846153846154,0.589450925494,0.013102551807611917,1.3742429912520702,0.658800498105,0.0961256009010986,1.317991246012518,0.612740683514,0.0149407263070671,1.2833012021606551,0.643649829406,0.019437501981255524,1.2780565646882,0.67605961564,0.011447954065062261,1.9818770784033561,0.750903835109,0.04315676735812261,2.108100107012233
WellB04_Seq0002/xy15,0-1,119.34229577738397,20.80029086335088,0.204528266517,0.243311969994,0.17429102337825692,2.023683769762447,0.1000799680255745,4.11525157853,0.926358405318,0.574956570737,-0.468786593606,3.18422488651,0.12330133106137096,-0.026453848325,-11.0763107949,-0.16483280206683215,0.6479694927563866,-0.8164927955490073,-0.2884673732200347,-1.0540946115030176,-1.5334258928556237,-0.8550634906679258,-1.4999999999999998,-1.5000000000000002,-2.0,1.48246432225,2.11790601238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134396437955,-0.0842837557431,0.214564645935,0.0319393663108,-0.144730191969,-0.309358768033,-0.386129515227,-0.0644123220452,-0.116047985231,-0.638728361389,0.3125,0.4,0.4,0.5,0.285714285714,0.384615384615,0.70284882939,0.011184334937350883,1.816269586741933,0.699288248366,0.06913224716153366,1.8940396380973632,0.599427230866,0.045644344043965675,1.53814110704584,0.566286547623,0.0034854879201357525,1.5525701352856986,0.705818782891,0.13160016108565425,1.9123425045495557,0.613207706452,0.08864674612325098,1.5080248421228162
WellB05_Seq0003/xy09,0-0,273.1985896135986,11.853269591129758,0.787023583744,0.808778977581,0.04338700872465908,6.0629035948133225,0.7962411694957433,9.42064102116,0.526494962781,1.02245054623,-0.0139278372779,36.5080392314,1.1889714371479887,0.561795322572,-61.11870198,1.1401130270192983,-0.806658894382339,-1.121172261118827,-0.8061824575698546,0.18075628728274795,-1.4832591945307854,-0.7474559934321832,-1.4999999999999991,-1.5000000000000002,-2.0,3.79310208657,4.11700376127,4.98009983968,5.78810467665,6.13599401077,7.21438051546,7.7932213878,8.155022992,0.0,0.0,0.96,0.84,0.56,0.36,0.28,0.12,0.08,0.04,0.0,0.0,0.290578596463,-0.0485612766955,0.38177743192,0.253922863636,-0.120044610639,-0.0883809987686,-0.0342259785256,-0.143713743142,-0.249925106838,-0.0249744122593,0.6875,0.733333333333,0.733333333333,0.642857142857,0.857142857143,0.846153846154,0.39484792083,0.01586047056335689,1.7867642698695148,0.411868481181,0.0730946488949169,1.8159468334616566,0.34705256002,0.03317663642600983,1.5800952656581613,0.367062181152,0.009825411397974665,1.5657735111508089,0.259506086607,0.013221280027338323,0.71495980866483,0.250054499484,0.013948400190453257,0.5969829565785769
WellB05_Seq0003/xy09,0-1,412.71335048001936,37.41684112802685,0.617499832243,0.455688835887,0.09066060277552933,18.437722202050903,1.3091982279242458,14.2314948441,0.566463809507,0.850725739745,-0.175775809019,78.9408206876,0.9442814999460772,0.375707816271,-72.8198439179,0.3040693824313814,4.705703231036607,1.0908919941796977,-1.6351609263541715,-1.3685208988291444,-1.0200245899935587,-1.4439121561116395,-1.4999999999999998,-1.4999999999999996,-2.0,7.23986850607,7.76508815248,8.30157736961,9.16440845203,9.16440845203,10.2893228385,11.9770738512,13.2363553838,13.9624071069,14.8600112235,0.96,0.88,0.8,0.68,0.68,0.52,0.36,0.28,0.24,0.2,0.208460043494,0.261710656663,0.0328780247621,0.124249032713,-0.084751187059,0.0446414538247,0.0361589066735,-0.259511007145,-0.211927794247,-0.293907249876,0.6875,0.6,0.6,0.642857142857,0.571428571429,0.615384615385,1.02683382646,0.05216570336702048,2.0288287204503086,0.98306152632,0.10591280969577498,2.011015999492917,1.18167747301,0.033730828151349986,2.2344237408000254,1.12796793825,0.08657258518020633,2.1798981434666094,1.21289126032,0.23155739401979844,2.0557765896128113,1.11337463252,0.17044056934600937,2.0379638686554196
