Well/XY,cell_id,group
WellB02_Seq0000/xy01,0,1
WellB02_Seq0000/xy01,1,1
WellB02_Seq0000/xy01,2,1
WellB02_Seq0000/xy01,3,1
WellB02_Seq0000/xy01,4,1
WellB02_Seq0000/xy01,5,2
WellB02_Seq0000/xy03,0,3
WellB02_Seq0000/xy03,1,3
WellB02_Seq0000/xy04,0,3
WellB02_Seq0000/xy04,1,1
WellB02_Seq0000/xy05,0,1
WellB02_Seq0000/xy05,1,3
WellB02_Seq0000/xy05,2,3
WellB02_Seq0000/xy05,3,3
WellB02_Seq0000/xy06,0,1
WellB02_Seq0000/xy06,1,1
WellB02_Seq0000/xy06,2,1
WellB02_Seq0000/xy06,3,1
WellB02_Seq0000/xy07,0,1
WellB02_Seq0000/xy07,1,1
WellB02_Seq0000/xy07,2,1
WellB02_Seq0000/xy07,3,1
WellB02_Seq0000/xy08,0,1
WellB02_Seq0000/xy09,0,1
WellB02_Seq0000/xy09,1,1
WellB02_Seq0000/xy10,0,2
WellB02_Seq0000/xy10,1,1
WellB02_Seq0000/xy11,0,1
WellB02_Seq0000/xy11,1,1
WellB02_Seq0000/xy11,2,3
WellB02_Seq0000/xy12,0,1
WellB02_Seq0000/xy13,0,1
WellB02_Seq0000/xy13,1,3
WellB02_Seq0000/xy13,2,1
WellB02_Seq0000/xy14,0,1
WellB02_Seq0000/xy14,1,1
WellB02_Seq0000/xy14,2,2
WellB02_Seq0000/xy14,3,1
WellB02_Seq0000/xy14,4,1
WellB02_Seq0000/xy15,0,1
WellB02_Seq0000/xy15,1,1
WellB02_Seq0000/xy15,2,3
WellB02_Seq0000/xy15,3,4
WellB02_Seq0000/xy15,4,3
WellB02_Seq0000/xy16,0,1
WellB02_Seq0000/xy16,1,1
WellB02_Seq0000/xy17,0,1
WellB02_Seq0000/xy17,1,1
WellB02_Seq0000/xy17,2,4
WellB02_Seq0000/xy19,0,2
WellB02_Seq0000/xy19,1,1
WellB02_Seq0000/xy19,2,1
WellB02_Seq0000/xy20,0,1
WellB02_Seq0000/xy20,1,2
WellB02_Seq0000/xy20,2,1
WellB02_Seq0000/xy21,0,1
WellB02_Seq0000/xy21,1,3
WellB02_Seq0000/xy21,2,2
WellB02_Seq0000/xy23,0,1
WellB02_Seq0000/xy23,1,3
WellB02_Seq0000/xy24,0,1
WellB02_Seq0000/xy24,1,1
WellB02_Seq0000/xy24,2,1
WellB02_Seq0000/xy24,3,4
WellB02_Seq0000/xy24,4,3
WellB02_Seq0000/xy24,5,1
WellB02_Seq0000/xy25,0,1
WellB02_Seq0000/xy25,1,1
WellB03_Seq0001/xy02,0,1
WellB03_Seq0001/xy03,0,3
WellB03_Seq0001/xy03,1,1
WellB03_Seq0001/xy03,2,1
WellB03_Seq0001/xy04,0,1
WellB03_Seq0001/xy04,1,1
WellB03_Seq0001/xy04,2,1
WellB03_Seq0001/xy04,3,1
WellB03_Seq0001/xy04,4,1
WellB03_Seq0001/xy05,0,1
WellB03_Seq0001/xy05,1,3
WellB03_Seq0001/xy05,2,1
WellB03_Seq0001/xy05,3,1
WellB03_Seq0001/xy06,0,1
