Well/XY,cell_id,group
WellB02_Seq0000/xy01,0,1
WellB02_Seq0000/xy01,1,1
WellB02_Seq0000/xy06,0,1
WellB02_Seq0000/xy07,0,2
WellB02_Seq0000/xy24,0,1
WellB03_Seq0001/xy06,0,1
WellB03_Seq0001/xy10,0,1
WellB03_Seq0001/xy13,0,2
WellB03_Seq0001/xy16,0,1
WellB03_Seq0001/xy25,0,1
WellB04_Seq0002/xy04,0,2
WellB04_Seq0002/xy07,0,2
WellB04_Seq0002/xy12,0,1
WellB05_Seq0003/xy05,0,2
WellB05_Seq0003/xy05,1,1
WellB05_Seq0003/xy06,0,2
WellB05_Seq0003/xy06,1,1
WellB05_Seq0003/xy11,0,1
WellB05_Seq0003/xy11,1,1
WellB06_Seq0004/xy02,0,2
WellB06_Seq0004/xy06,0,2
WellB06_Seq0004/xy15,0,2
WellB06_Seq0004/xy23,0,2
WellB06_Seq0004/xy23,1,1
WellB06_Seq0004/xy25,0,1
WellB07_Seq0005/xy04,0,2
WellB07_Seq0005/xy08,0,2
WellB07_Seq0005/xy12,0,2
WellB08_Seq0006/xy09,0,2
WellB09_Seq0007/xy01,0,1
WellB09_Seq0007/xy01,1,1
WellB09_Seq0007/xy15,0,1
WellB09_Seq0007/xy21,0,2
WellB10_Seq0008/xy25,0,1
WellD02_Seq0018/xy02,0,2
WellD02_Seq0018/xy02,1,2
WellD02_Seq0018/xy08,0,1
WellD02_Seq0018/xy13,0,1
WellD02_Seq0018/xy15,0,1
WellD02_Seq0018/xy16,0,1
WellD02_Seq0018/xy16,1,2
WellD02_Seq0018/xy24,0,1
WellD03_Seq0019/xy04,0,1
WellD03_Seq0019/xy06,0,2
WellD03_Seq0019/xy12,0,1
WellD03_Seq0019/xy15,0,2
WellD03_Seq0019/xy16,0,1
WellD03_Seq0019/xy16,1,2
WellD04_Seq0020/xy01,0,1
WellD04_Seq0020/xy05,0,2
WellD04_Seq0020/xy09,0,2
WellD04_Seq0020/xy10,0,2
WellD04_Seq0020/xy11,0,2
WellD04_Seq0020/xy15,0,2
WellD04_Seq0020/xy15,1,2
WellD04_Seq0020/xy20,0,1
WellD05_Seq0021/xy06,0,2
WellD05_Seq0021/xy09,0,2
WellD05_Seq0021/xy16,0,2
WellD05_Seq0021/xy16,1,1
WellD05_Seq0021/xy16,2,2
WellD05_Seq0021/xy18,0,2
WellD05_Seq0021/xy19,0,2
WellD06_Seq0022/xy05,0,2
WellD06_Seq0022/xy05,1,2
WellD06_Seq0022/xy06,0,2
WellD06_Seq0022/xy07,0,2
WellD06_Seq0022/xy09,0,1
WellD06_Seq0022/xy16,0,1
WellD06_Seq0022/xy20,0,2
WellD07_Seq0023/xy05,0,1
WellD07_Seq0023/xy05,1,2
WellD07_Seq0023/xy14,0,1
WellD07_Seq0023/xy16,0,2
WellD07_Seq0023/xy18,0,2
WellD07_Seq0023/xy18,1,2
WellD08_Seq0024/xy01,0,2
WellD08_Seq0024/xy03,0,1
WellD08_Seq0024/xy04,0,2
WellD08_Seq0024/xy05,0,2
WellD08_Seq0024/xy05,1,2
WellD08_Seq0024/xy05,2,2
WellD08_Seq0024/xy20,0,1
WellD08_Seq0024/xy21,0,2
WellD08_Seq0024/xy21,1,1
WellD08_Seq0024/xy24,0,1
WellD09_Seq0025/xy08,0,2
WellD09_Seq0025/xy08,1,1
WellD09_Seq0025/xy09,0,2
WellD09_Seq0025/xy13,0,1
WellD09_Seq0025/xy17,0,2
WellD09_Seq0025/xy17,1,2
WellD09_Seq0025/xy18,0,2
WellD09_Seq0025/xy21,0,2
WellD09_Seq0025/xy21,1,2
WellD10_Seq0026/xy01,0,2
WellD10_Seq0026/xy06,0,2
