Well/XY,cell_id,total_distance,net_distance,linearity,spearmanrsq,progressivity,max_speed,min_speed,avg_speed,MSD_slope,hurst_RS,nongauss,disp_var,disp_skew,rw_linearity,rw_netdist,rw_kurtosis01,rw_kurtosis02,rw_kurtosis03,rw_kurtosis04,rw_kurtosis05,rw_kurtosis06,rw_kurtosis07,rw_kurtosis08,rw_kurtosis09,rw_kurtosis10,avg_moving_speed01,avg_moving_speed02,avg_moving_speed03,avg_moving_speed04,avg_moving_speed05,avg_moving_speed06,avg_moving_speed07,avg_moving_speed08,avg_moving_speed09,avg_moving_speed10,time_moving01,time_moving02,time_moving03,time_moving04,time_moving05,time_moving06,time_moving07,time_moving08,time_moving09,time_moving10,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,autocorr_6,autocorr_7,autocorr_8,autocorr_9,autocorr_10,p_rturn_9_5,p_rturn_9_6,p_rturn_10_5,p_rturn_10_6,p_rturn_11_5,p_rturn_11_6,mean_theta_9_5,min_theta_9_5,max_theta_9_5,mean_theta_9_6,min_theta_9_6,max_theta_9_6,mean_theta_10_5,min_theta_10_5,max_theta_10_5,mean_theta_10_6,min_theta_10_6,max_theta_10_6,mean_theta_11_5,min_theta_11_5,max_theta_11_5,mean_theta_11_6,min_theta_11_6,max_theta_11_6
WellB02_Seq0000/xy07,0-0,371.04789743094625,290.1178072800771,0.788480860863,0.951375147929,0.7818877543540572,17.611343617112244,3.081698233117566,15.4603290596,1.69485156769,0.684674863607,0.721417812708,129.251072839,2.827382450026958,0.567625218755,180.796772106,9.066081929130151,0.44638385905590283,0.06520357876163585,-1.160067779188887,-1.8534894344214088,-1.5000000000000004,-1.5000000000000002,-2.0,-1.9999999999999998,-2.0,12.3993297434,12.3993297434,12.3993297434,12.3993297434,13.226599859,13.226599859,13.6011876313,14.4156614494,14.4156614494,16.1879645488,1.0,1.0,1.0,1.0,0.9,0.9,0.85,0.75,0.75,0.55,-0.0177297060276,-0.0912212509845,0.0246385244072,-0.138095086749,-0.194734101561,-0.00820180593594,0.0776866657357,0.0161182131018,-0.236504056275,-0.328016743211,0.727272727273,0.7,0.7,0.777777777778,0.777777777778,0.75,0.188414405846,0.001996792901591408,0.39687431067778567,0.224649150359,0.044393950765002965,0.44228206915983287,0.217819741267,0.00285680285570405,0.37029093850793,0.243162224837,0.06068983470907492,0.4094456216256808,0.256073366203,0.06462544222195918,0.4458370427732908,0.25965545241,0.08202078446604934,0.3689441416839114
WellB02_Seq0000/xy07,0-1,1116.627834712468,201.78675402513414,0.845558588856,0.407633136095,0.18071084004196822,55.32429574789003,3.199363061610871,46.5261597797,0.719661611717,0.673753002456,2.73562903719,4008.86734254,3.2020913329761043,0.603102403676,-127.202876803,10.7624585374293,1.7857626650892433,1.3516550074661593,-0.04224758353820279,-0.8205179647867848,-1.499999999999999,-1.4999999999999998,-1.9999999999999998,-2.0,-2.0,15.3565633379,15.3565633379,16.0208759772,17.486632445,19.2303669018,26.0317441455,31.0148235699,31.0148235699,34.1668614168,34.1668614168,1.0,1.0,0.95,0.85,0.75,0.5,0.4,0.4,0.35,0.35,0.124347620317,0.146508190871,0.00862544492651,0.0324380017832,-0.0785546837111,0.132771347498,-0.1335005406,-0.0685863863553,-0.0874163797815,-0.0965555801868,0.909090909091,0.9,1.0,0.888888888889,1.0,1.0,0.95654016846,0.1298641679950382,2.3671065635063613,0.957652732322,0.13640356514931976,2.391571855657134,0.802066877234,0.04896686995955298,2.3289615825323287,0.857094148213,0.06554746861137249,2.329369345039341,0.760568560621,0.012886114221243443,1.7930141578027374,0.756891412797,0.015568745568742232,1.6296201927472898
WellB02_Seq0000/xy07,0-2,614.2117152607198,44.20498161972249,0.271806242704,0.213728402367,0.07197026777803875,18.393559307540233,2.7001214787487022,25.5921548025,0.191752167823,0.757887359409,-0.207688433844,328.990898078,0.5581534663716022,0.039629685767,-136.758880441,-0.9735151104609647,0.41974176646931527,0.32131031679922906,-0.808795203792839,-1.1387377411047275,-1.5,-1.5,-2.0,-2.0,-1.9999999999999998,10.9135898888,10.9135898888,10.9135898888,11.2976805538,11.6556005515,12.4217302171,12.8242765393,13.6378651068,13.6378651068,14.855549454,1.0,1.0,1.0,0.95,0.9,0.8,0.75,0.65,0.65,0.5,0.170519770719,0.0171172771062,-0.00292836948795,-0.160849929499,0.270621341711,0.066316866541,-0.119881256106,-0.0612689297371,-0.229889921872,-0.060629778641,0.454545454545,0.5,0.5,0.444444444444,0.555555555556,0.5,0.477772925832,0.0333927869001769,2.24737492569564,0.513048661402,0.03242793362589036,2.080038304099348,0.300416454672,0.024694588206057546,0.5885135411972844,0.321259624026,0.09051530873213098,0.6524685686706401,0.288027661644,0.11006621080071888,0.5954225582543033,0.289471368731,0.1679737356497401,0.44067852501812615
WellB02_Seq0000/xy21,0-0,154.68917354025277,102.4531600293519,0.953065412473,0.970598307041,0.662316293277576,6.000833275471008,2.2627416997969587,6.44538223084,1.799164387,0.427563683913,-0.458979875113,10.1618198269,-0.21783898138493316,0.764165203202,56.8774252017,-0.7292429470650745,-0.2672828853863569,-0.9272857786561657,-1.512922534354503,-1.2196046796264937,-1.4999999999999962,-1.5000000000000002,-1.9999999999999998,-2.0,-2.0,4.65477886986,4.65477886986,4.65477886986,5.21546432609,5.68169573897,6.14967419691,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.65,0.4,0.15,0.0,0.0,0.0,0.0,-0.320259674184,-0.132707321266,-0.0286248679881,0.0111121945562,-0.0690367898663,-0.126008294893,0.171158977093,0.0641182443281,0.279816184192,-0.185499323637,0.909090909091,0.8,0.8,0.888888888889,0.777777777778,0.875,0.15185474217,0.03172718838803065,0.39286883055036415,0.122017126543,0.018475722770542796,0.3017820749011817,0.138088285338,0.012204374743444574,0.2802252069807798,0.12634961097,0.02208897833080375,0.34901611260318993,0.155665321353,0.03587415299330852,0.2248851409754272,0.137028961334,0.03573921521814401,0.23233196851427765
WellB02_Seq0000/xy21,0-1,496.05182154231386,155.00361286112013,0.483270484993,0.587807292746,0.3124746369828583,20.5673624949822,1.7705366418122952,20.6688258976,1.06906756412,0.740028989948,1.20362600135,535.246611182,2.4097013063537056,0.260514906067,8.85294334757,4.661264517969287,0.3018665015993407,-1.1864466962635736,-0.633231275401096,-1.2596592064290468,-1.5000000000000002,-1.5000000000000007,-1.9999999999999998,-2.0,-1.9999999999999998,7.92803217525,8.28597490951,8.28597490951,8.55065977439,9.04735143919,9.53625110554,9.80679585382,11.2758719188,12.9027208358,15.0411961464,1.0,0.95,0.95,0.9,0.8,0.7,0.65,0.4,0.25,0.15,0.416220108166,-0.0729397902654,0.0880740685591,-0.00151010813109,-0.165744651466,0.00606690976496,0.159779068245,-0.149250888623,-0.221511223322,-0.122137049733,0.0,0.1,0.1,0.111111111111,0.111111111111,0.125,0.702242976382,0.13678451858964769,1.9214904278443425,0.713564019544,0.029991237906101274,1.9200474741690308,0.640267802677,0.050519553115422236,1.7776708305425613,0.47708199999,0.1461157009646619,0.8823976412083032,0.473606118748,0.04463208507741398,0.9587916695166984,0.463251695864,0.04788486608256183,0.8964171658550114
WellB02_Seq0000/xy21,0-2,213.29695007362233,175.13680367073044,0.964391687069,0.975536094675,0.8210938019051824,7.7978971524379705,3.8327535793473615,8.88737291973,1.88032335718,0.901141866246,-0.504420956734,9.07927695526,0.6425207026279716,0.726988663757,112.293587086,-0.05963471878957538,0.10455153622075075,-1.3416437461307498,-1.3729909648668224,-0.8254284084313919,-1.4999999999999998,-1.4999999999999996,-2.0,-2.0,-2.0,7.30925742097,7.30925742097,7.30925742097,7.30925742097,7.30925742097,7.63479705081,8.93201776174,9.19687828968,9.44067363423,0.0,1.0,1.0,1.0,1.0,1.0,0.85,0.4,0.35,0.25,0.0,0.0701171842448,0.338987512119,0.206468789884,0.322623354751,0.0177085265378,0.0323250527409,0.00181304392703,0.0430731259328,-0.524407659046,-0.222028966683,0.363636363636,0.4,0.3,0.444444444444,0.222222222222,0.25,0.123975749463,0.016613469837211306,0.23139587300611014,0.107502494702,0.051270361045088995,0.1474951228560478,0.10637066801,0.028044480973251847,0.22108973736202508,0.091473424524,0.0247162838578062,0.20363728930993696,0.0989620714051,0.0012345789072076782,0.18979635639184939,0.0885096917277,0.00405091092955609,0.16919902475051313
WellB03_Seq0001/xy10,0-0,705.5958662450562,112.95889694928854,0.488774586413,0.530656213018,0.16009007755447574,36.48160681768279,1.0216379006282088,29.3998277602,0.818824104855,0.864012864334,-0.159883645642,521.993225381,0.6702585355556662,0.268260698051,-94.9292788003,-0.9770935322112337,-1.3416290251990017,-1.5660644694473094,-0.3442609594813346,-1.1686468716836862,-1.5,-1.5,-2.0,-2.0,-1.9999999999999998,19.4773965514,19.4773965514,22.4831922291,23.6429990415,23.6429990415,23.6429990415,23.6429990415,23.6429990415,24.6256438281,24.6256438281,1.0,1.0,0.85,0.8,0.8,0.8,0.8,0.8,0.75,0.75,0.203903899844,-0.0179535542398,0.160132516088,-0.0504961840015,-0.345579728375,-0.160283797993,-0.0779026979062,-0.255427660412,-0.272189998563,-0.446792673363,0.181818181818,0.2,0.2,0.333333333333,0.333333333333,0.375,0.979333390605,0.027235985449536163,2.5362111933228175,0.872113515546,0.06442370738539116,2.5401211307978837,0.884672173411,0.08838419449906447,1.8041933226015803,0.759103532321,0.04607589567021831,1.8325470482983803,0.953002284738,0.03127691132085354,1.7969436506572098,0.84695667189,0.05060975214053161,1.82529737635401
WellB03_Seq0001/xy10,0-1,488.5518729416808,128.7000470085384,0.293953190709,0.40109492509,0.26343169300243685,34.651875331646934,0.6538776643990729,20.3563280392,0.897892516417,0.788486087219,0.566308840851,499.214870444,1.530785763092645,0.083089614217,-15.2409289575,1.0740542571790535,-0.9605333846212156,-0.33578748111366696,-1.1114686182034446,-1.039898819309898,-1.5000000000000002,-1.5,-2.0,-2.0,-2.0,16.3855489464,17.9986511056,17.9986511056,22.1630464859,23.5425803108,23.5425803108,23.5425803108,23.5425803108,23.5425803108,23.5425803108,1.0,0.9,0.9,0.7,0.65,0.65,0.65,0.65,0.65,0.65,0.548730077639,0.169346962639,-0.0376866849406,-0.258772494003,-0.254636173461,-0.0247512253088,0.189296320238,0.287033211582,-0.00371040253944,-0.301143179083,0.818181818182,0.7,0.8,0.666666666667,0.777777777778,0.75,0.734471576866,0.024260700513385122,1.8452877457345243,0.691729337996,0.03081672492829206,1.8934908876757446,0.622281805462,0.02876634014145423,1.3844777474977423,0.545070681013,0.027798790038059448,1.4078763213123187,0.554129459946,0.0018401090762629993,1.0649994691983982,0.464231052805,0.005906879987610129,1.016796327257178
WellB03_Seq0001/xy10,0-2,413.2676445166295,227.72554994993422,0.12932800769,0.14265147929,0.5510364843981168,16.31798872410445,5.835520542333829,17.2194851882,1.51800767657,0.834285080625,-0.145202200472,111.526771121,1.1568082472708274,-0.115495036137,105.965402499,0.30274767635174493,-1.0240262874826924,-1.5614516418186903,-1.7070949919215337,-1.7718082075226165,-1.5000000000000004,-1.499999999999999,-2.0,-2.0,-2.0,13.1998658574,13.1998658574,13.1998658574,13.1998658574,13.1998658574,13.1998658574,13.1998658574,13.4954396184,14.8133870708,15.1959889155,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.75,0.7,0.191446549921,-0.0304374952721,-0.145238808672,0.214519473163,0.251435899122,0.0141294422706,-0.268475431946,-0.283807369419,-0.40412678237,0.0494553067409,0.363636363636,0.3,0.3,0.222222222222,0.333333333333,0.25,1.51804526147,0.5558009086907725,2.526763960512581,1.49931220697,0.36669114096723604,2.3885726580927558,1.75413714491,0.5659724540414957,2.486486780556588,1.75722990159,0.6464171882993343,2.323693637136166,1.79902503444,0.815564329118581,2.603992929862823,1.87488809985,0.8536883117048694,2.2827928521049192
WellB03_Seq0001/xy17,0-0,343.4480707501136,128.37763395545187,0.689453037278,0.424502366864,0.37379052290224407,11.556643284275925,1.9045251376655599,14.3103362813,1.09436489763,0.654556972472,0.647135269323,152.645011743,1.9533270547829482,0.429236773937,27.1882757001,4.21573428925186,-0.9798419887733507,-0.965119217381353,-1.3114920636675207,-1.4999012898287984,-1.4999999999999998,-1.5000000000000002,-2.0,-2.0,-2.0,6.97713975705,7.26873384348,7.26873384348,7.97295056114,8.73720299377,9.28402995497,9.56523913097,10.4523491368,11.3556654347,11.8867148128,1.0,0.95,0.95,0.8,0.65,0.55,0.5,0.35,0.25,0.2,0.361904488283,-0.160805937489,-0.217830637309,-0.245673109977,-0.166753004238,-0.15186662137,-0.036637498727,0.0169208731023,0.127629796728,0.296839955291,0.454545454545,0.6,0.4,0.555555555556,0.555555555556,0.625,0.978638837122,0.08457691131576277,2.376584375412504,1.02666106681,0.10649155309617579,2.4559296943746944,0.850414026337,0.1170623206624645,2.0676922604159675,0.885060231955,0.026197924725193805,2.1470375793781584,0.961656282191,0.0014910179539064118,2.3837649125527713,1.07447886485,0.1617187692419658,2.4266371292196443
