Well/XY,cell_id,total_distance,net_distance,linearity,spearmanrsq,progressivity,max_speed,min_speed,avg_speed,MSD_slope,hurst_RS,nongauss,disp_var,disp_skew,rw_linearity,rw_netdist,rw_kurtosis01,rw_kurtosis02,rw_kurtosis03,rw_kurtosis04,rw_kurtosis05,rw_kurtosis06,rw_kurtosis07,rw_kurtosis08,rw_kurtosis09,rw_kurtosis10,avg_moving_speed01,avg_moving_speed02,avg_moving_speed03,avg_moving_speed04,avg_moving_speed05,avg_moving_speed06,avg_moving_speed07,avg_moving_speed08,avg_moving_speed09,avg_moving_speed10,time_moving01,time_moving02,time_moving03,time_moving04,time_moving05,time_moving06,time_moving07,time_moving08,time_moving09,time_moving10,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,autocorr_6,autocorr_7,autocorr_8,autocorr_9,autocorr_10,p_rturn_9_5,p_rturn_9_6,p_rturn_10_5,p_rturn_10_6,p_rturn_11_5,p_rturn_11_6,mean_theta_9_5,min_theta_9_5,max_theta_9_5,mean_theta_9_6,min_theta_9_6,max_theta_9_6,mean_theta_10_5,min_theta_10_5,max_theta_10_5,mean_theta_10_6,min_theta_10_6,max_theta_10_6,mean_theta_11_5,min_theta_11_5,max_theta_11_5,mean_theta_11_6,min_theta_11_6,max_theta_11_6
WellB02_Seq0000/xy09,0,1490.3146824509117,440.97383759583744,0.123912397387,0.0473530917332,0.29589310418027254,33.96889223981258,5.08308449664178,19.8708624327,1.47273294667,0.586002256155,0.102285077018,190.472571259,1.579356550671453,-0.108208931748,195.989392334,2.602492243041591,2.660401361308522,2.874717770166775,0.5724017528467105,0.5852500717738343,0.025804498866369485,-0.35464157289265064,-0.9460591252573716,-1.0154084242688823,-0.37627235328937525,17.4868809879,17.4868809879,17.4868809879,17.4868809879,17.4868809879,17.4868809879,17.4868809879,18.2222430595,18.3757971737,18.6491717562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9295774647887324,0.9154929577464789,0.8873239436619719,0.415768014768,0.0681513734724,-0.0985101462029,-0.238500488876,-0.269283443964,-0.125302053368,-0.0249814265708,0.0586467650292,-0.0155489728401,0.0260181971588,0.428571428571,0.428571428571,0.4,0.4,0.3,0.3,0.989741342496,0.046484778009406334,2.6190377733473067,0.938911040542,0.025411014836222823,2.620272722831663,1.05120234456,0.011489282290983088,2.6224056254444585,1.01267372051,0.005776999103638282,2.623640574928815,0.960679165936,0.03565813500321467,2.231901406896176,0.910502303042,0.041370418190524706,1.9882258191184101
WellB02_Seq0000/xy10,0,1036.8937715948268,151.32337063388445,0.078754212085,0.0934207134798,0.1459391258577403,21.768378534011216,0.772334124585989,13.8252502879,0.761912121499,0.615911110807,0.558275429787,140.292369811,1.9538322356631244,-0.153293898395,-19.1257623051,4.095877774540351,1.9004839023890527,2.135174460368119,1.89465161406876,0.770106748834491,-0.5999248130019512,-0.514429846459282,-1.424505173856843,-0.7982339844989896,1.8503680085483598,9.87053798427,10.253307043,10.6177325973,10.967948904,11.1857744032,11.8342682665,12.397067817,13.0648535821,13.5226475195,14.0828779468,1.0,0.9577464788732394,0.9154929577464789,0.8732394366197183,0.8450704225352113,0.7605633802816901,0.6901408450704225,0.6056338028169014,0.5492957746478874,0.4788732394366197,0.23454712924,0.0272395475327,-0.0670474828764,-0.161479309624,0.0390373591876,-0.0156776167101,0.0956173068307,0.0972759433763,-0.03252647803,-0.133984253596,0.47619047619,0.52380952381,0.45,0.45,0.55,0.55,0.954489898724,0.009258674717069709,2.496708364893261,0.857462472226,0.01602522203908751,2.499195217324799,1.00474819919,0.016391021313057762,2.454496198430001,0.952654429103,0.005169881850096963,2.567399168540788,1.13354261892,0.056857024188234774,2.4665080081828212,1.08144884884,0.01716701865314217,2.6569793713174827
WellB02_Seq0000/xy11,0,1576.8065422963155,442.40589959899944,0.443370820911,0.488327710743,0.28057081685792623,29.052242598463863,2.251754871206015,21.0240872306,1.52180850236,0.664107901545,0.342591156707,247.179685058,1.9016768144472191,0.223806422434,183.203544151,4.359051121458689,2.329875988854236,7.218853003677729,2.3737267289042023,3.4969587117281087,1.3869018913249835,1.9435386334295854,0.3230961182838876,1.0968424967880832,-0.000432038131173762,12.6121385011,12.6121385011,12.6121385011,12.6121385011,12.9868605271,13.2047605984,13.8898473753,14.114389676,14.8965243175,15.3601982293,1.0,1.0,1.0,1.0,0.9577464788732394,0.9295774647887324,0.8450704225352113,0.8169014084507042,0.7183098591549296,0.6619718309859155,0.0160314590041,0.062651097139,0.0353337972647,0.019176496548,0.260539676924,-0.0603663105872,0.0401109943222,2.17464696084e-05,-0.0113412050995,-0.129305536671,0.52380952381,0.47619047619,0.65,0.6,0.55,0.5,0.603571725313,0.018503736763708655,2.518007330158717,0.545905445406,0.009088266775568048,2.477176581375501,0.65756302984,0.028056187050548048,2.6034069872178787,0.58721618982,0.004278355284739654,2.6057702130337397,0.669466453214,0.009279712302632925,2.499024145420982,0.604279942304,0.006666514088879215,2.501387371236843
WellB02_Seq0000/xy17,0,951.226911243319,324.34059382075503,0.0311971939387,0.00560612475476,0.34097079254919266,13.97709354622771,0.9477235883948284,12.6830254832,1.45062697245,0.735113231296,-0.0948412517116,65.0632823947,1.166895440497449,-0.201623989393,167.973754043,1.6040064062575787,-1.059017208548262,-0.814180091016623,0.0104649101348806,0.20446367266831889,-1.2739233791471452,-1.139789075838092,-0.780887081938074,-0.6193092634097486,-1.4349373241296328,8.27536493716,8.37175399506,8.54387164051,8.85679597505,9.2345997014,10.0900246545,10.7144753643,11.3851595734,11.7565188934,12.2338111123,1.0,0.9859154929577465,0.9577464788732394,0.9014084507042254,0.8309859154929577,0.676056338028169,0.5774647887323944,0.4788732394366197,0.4225352112676056,0.352112676056338,0.0385833133779,0.219434679587,0.0295681779543,0.149713009854,-0.0183720448415,0.171534481123,-0.202395277654,-0.194240943618,-0.0658350443079,0.0217084763608,0.666666666667,0.619047619048,0.75,0.75,0.7,0.7,0.657861252014,0.037631702303444495,2.100334874528574,0.608930180237,0.004412299808800911,1.8355505261028604,0.644164291639,0.037166724842036654,2.0072739052937156,0.594194633678,0.008401081805842795,1.8526564354532402,0.682448053257,0.05668606868777026,1.844695169061179,0.632414040202,0.06444359955246097,1.8601053881111849
WellB02_Seq0000/xy17,1,509.8670422340673,80.46726042310618,0.840675756584,0.870099109121,0.15782008593951374,12.868317683364833,0.3805259518088262,6.79822722979,1.376242141,0.779731133328,0.436396676396,36.9410536385,1.6090633391496627,0.617529499011,-3.34691383823,2.760815213757848,3.1103424497479217,1.8302957343654116,0.1055707246261064,-1.2976153338234675,-0.8921527168809962,-0.456888807384364,-1.1834913740828765,-0.7489231367501485,-1.109236721815169,5.30057684873,6.30258237087,7.39931634658,8.34738040533,9.13998068384,9.61875525478,9.90724690913,10.1656413021,10.6567239217,11.9496583069,0.8169014084507042,0.647887323943662,0.5070422535211268,0.4084507042253521,0.3380281690140845,0.29577464788732394,0.2676056338028169,0.23943661971830985,0.18309859154929578,0.08450704225352113,0.478275412368,0.283234761008,0.222739477547,0.15930113667,-0.0097474216017,-0.0918497971153,-0.0345511501784,0.0460276515227,-0.0227768196615,7.96436560064e-05,0.333333333333,0.285714285714,0.45,0.4,0.4,0.4,0.395076373948,0.009625523057074661,1.61126737537492,0.365727899346,0.0007419744782721834,1.6407208971884357,0.437283989421,0.0010229644758872121,1.7385654966147488,0.408968097214,0.08141382597327637,1.7680190184282643,0.430279753183,0.04905371113597352,1.6776575968770975,0.401963860975,0.08655070912640377,1.707111118690613
WellB02_Seq0000/xy25,0,1042.6947085682036,438.01997853979213,0.46216225972,0.608345618204,0.4200845894204908,21.013331387478758,1.520021052485769,13.9025961142,1.56767908776,0.696429301914,0.354809973501,137.781707338,1.6544114182903804,0.218429539513,266.617262211,2.3558605199363134,-0.060738400480818466,-0.9312026497494923,-0.80870614678261,-0.23134483359575864,-0.8613986090249757,-1.4462608539551154,-1.2909931648521626,-0.8700417772120526,1.0132117363807174,9.53441190839,9.64520487627,9.86313469283,9.9531247754,10.9008316826,11.4257957441,11.9455316579,12.4760690145,13.1261605236,13.6677994255,1.0,0.9859154929577465,0.9577464788732394,0.9436619718309859,0.8028169014084507,0.7323943661971831,0.6619718309859155,0.5915492957746479,0.5070422535211268,0.43661971830985913,0.147170854575,0.248738375936,0.282678984763,-0.0517481013729,0.102221014406,-0.142450436533,-0.172544885724,0.0530773708845,-0.136214815116,-0.191342838306,0.285714285714,0.238095238095,0.4,0.35,0.45,0.35,0.661114993458,0.12476343705231333,2.112551859658437,0.623414310475,0.039104954946737054,2.144738435833619,0.594607738682,0.036619056078706115,1.871089980562301,0.567379894923,0.03585256824676995,1.9032765567374825,0.592269947827,0.03958756884606122,1.8355794573550523,0.568095042042,0.0007433432951755464,1.867766033530234
WellB03_Seq0001/xy08,0,1050.389465173111,779.9187142260404,0.913417385918,0.908248775309,0.7425043187171577,20.509812383344705,0.2154065922853869,14.005192869,1.96194686309,0.907416752321,-0.184277678699,71.9430948247,0.9002724568114807,0.683878098157,607.251100154,1.3615122813196363,-1.122063452173704,-1.1879432275804436,-1.0221694292283863,-1.215610640182797,-1.2824831956363194,-1.2003517678890439,-1.0991544375568416,-1.5514498704749977,-1.1889178051781237,11.921553411,12.2309887035,13.0350306589,13.0350306589,13.65075019,14.2703016515,15.0634756366,15.3800467594,15.8658935348,16.1697984573,0.9577464788732394,0.9295774647887324,0.8591549295774648,0.8591549295774648,0.8028169014084507,0.7464788732394366,0.676056338028169,0.647887323943662,0.6056338028169014,0.5774647887323944,0.470221079687,0.475062264341,0.289791349908,0.358027510954,0.340540649204,0.305578678333,0.200107992361,0.204115677873,0.249883483926,0.0776445841976,0.619047619048,0.571428571429,0.6,0.5,0.6,0.6,0.341755378813,0.007592685888833876,1.7223906934666002,0.362343052929,0.014732363900357079,1.5099234977950782,0.292677764164,0.006669950371027167,1.5381187824013183,0.317839539789,0.0012931545763145164,1.325651586729796,0.30624866997,0.01867254730648597,1.325243848414716,0.330906997342,0.014931219347472052,1.112776652743194
WellB03_Seq0001/xy09,0,1631.300278645811,614.9298120997222,0.530033625648,0.00954861596295,0.376956848563891,54.688740080202955,0.7694153624668456,21.7506703819,1.21877056182,0.826162423549,0.671095943202,493.844091128,1.779147269359954,0.307170536569,346.769537947,2.7089465650964035,1.7720425070839978,2.7287150918798906,2.9370484709890814,5.188035105634354,3.4918086317563004,0.3967613281039939,2.6342274540440362,0.9601065175469161,-0.42029656774303836,13.7829241237,14.1472646163,14.668970965,15.3924138889,17.2975035468,18.8772080741,19.4454138748,21.7114128259,22.893735351,26.3558208698,0.9859154929577465,0.9577464788732394,0.9154929577464789,0.8591549295774648,0.7323943661971831,0.647887323943662,0.6197183098591549,0.5211267605633803,0.4788732394366197,0.38028169014084506,0.446456348935,0.511844401886,0.261021165335,0.175681254191,0.231753974695,0.237659461454,0.160773144653,0.201269160045,-0.0538165612701,-0.0515092517559,0.571428571429,0.52380952381,0.5,0.5,0.55,0.55,0.355869006477,0.020270769206140356,0.9157330163131103,0.293848545263,0.011983156518986203,0.8471228949164186,0.430741350893,0.005675430639475246,1.245183145327345,0.393922723306,0.00890372629332148,1.1364411681519166,0.411580963134,0.041080186509767434,1.201440334655848,0.360389569988,0.022401041498868506,1.022248214967891
WellB03_Seq0001/xy21,0,2247.527607761109,637.3480639336719,0.508522005002,0.542641557457,0.28357741267906866,45.78283713358094,1.4098070790005286,29.9670347701,1.23812146503,0.850251701865,-0.387383394769,254.465829341,0.26459784480870246,0.266490165432,267.889646405,-0.8618645992033818,0.25567453613821645,-0.06583459541479142,-0.2837675339368446,0.20505486642139914,-0.997576402368241,-0.893322706254001,-1.4571314939679942,-0.9305461636451366,-0.2057847469906533,22.7671000945,22.7671000945,22.7671000945,22.7671000945,23.2964581931,23.5610436294,24.6317343578,25.1834179558,25.1834179558,25.4465385645,1.0,1.0,1.0,1.0,0.971830985915493,0.9577464788732394,0.9014084507042254,0.8732394366197183,0.8732394366197183,0.8591549295774648,0.465482630586,0.271679716401,0.261762795093,0.168015839143,0.0326670785235,0.0167269336575,0.0346118078336,0.149955298583,0.240578673808,0.189562339199,0.571428571429,0.52380952381,0.65,0.6,0.6,0.55,0.896293505708,0.0262467343302248,2.265418534506277,0.841295953411,0.02638601530760277,2.2596089837696867,0.93822649644,0.058063020203161786,2.1720788605944428,0.884443931009,0.022338354330408063,2.166269309857853,0.913569143367,0.06050183170926966,1.966760254693284,0.861304127421,0.004117153165164392,1.9609507039566938
WellB03_Seq0001/xy22,0,1087.46495860592,283.1685010731242,0.0433050335594,0.0869608489537,0.26039321895588546,26.725216556653017,2.486201922612069,14.4995327814,1.45731696076,0.932321135014,0.00975885311802,103.704205916,1.2234025760310019,-0.201125766684,104.406255245,1.4064212208415148,-0.2325121179622065,0.8236819814749325,-0.23204109542614537,-0.9936206491945465,-0.5667794381004017,-0.2349425002672496,-0.7846973935278321,-1.2887518871265693,-1.0261929918916266,12.3111119873,12.3111119873,12.5878776776,12.8582756913,13.6680204178,14.5490694339,15.9265550869,17.6293766381,18.3905940781,19.2131824095,1.0,1.0,0.971830985915493,0.9436619718309859,0.8591549295774648,0.7746478873239436,0.6619718309859155,0.5492957746478874,0.5070422535211268,0.4647887323943662,0.433159494547,0.480120288369,0.30993269948,0.392025497978,0.357428564873,0.221392290767,0.1161799433,-0.000334389508724,0.0919134812289,0.0594804652717,0.238095238095,0.238095238095,0.25,0.2,0.25,0.2,0.684001099134,0.05035565008909107,2.7547411061468483,0.71703739558,0.022306860290298634,2.8604804335671172,0.725021928386,0.04509436536408651,2.7557215232841483,0.768540875405,0.11228203915803014,2.7634038791193483,0.724690817716,0.02444095203387119,2.7682386573212283,0.770275106068,0.1329354524882452,2.7566068074387733
