Well/XY,cell_id,total_distance,net_distance,linearity,spearmanrsq,progressivity,max_speed,min_speed,avg_speed,MSD_slope,hurst_RS,nongauss,disp_var,disp_skew,rw_linearity,rw_netdist,rw_kurtosis01,rw_kurtosis02,rw_kurtosis03,rw_kurtosis04,rw_kurtosis05,rw_kurtosis06,rw_kurtosis07,rw_kurtosis08,rw_kurtosis09,rw_kurtosis10,avg_moving_speed01,avg_moving_speed02,avg_moving_speed03,avg_moving_speed04,avg_moving_speed05,avg_moving_speed06,avg_moving_speed07,avg_moving_speed08,avg_moving_speed09,avg_moving_speed10,time_moving01,time_moving02,time_moving03,time_moving04,time_moving05,time_moving06,time_moving07,time_moving08,time_moving09,time_moving10,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,autocorr_6,autocorr_7,autocorr_8,autocorr_9,autocorr_10,p_rturn_9_5,p_rturn_9_6,p_rturn_10_5,p_rturn_10_6,p_rturn_11_5,p_rturn_11_6,mean_theta_9_5,min_theta_9_5,max_theta_9_5,mean_theta_9_6,min_theta_9_6,max_theta_9_6,mean_theta_10_5,min_theta_10_5,max_theta_10_5,mean_theta_10_6,min_theta_10_6,max_theta_10_6,mean_theta_11_5,min_theta_11_5,max_theta_11_5,mean_theta_11_6,min_theta_11_6,max_theta_11_6
WellB02_Seq0000/xy07_sliding_s15,0-0,529.325620199968,50.30638627450805,0.88845841747,0.823459369255,0.0950386385142351,27.53339071019041,1.8053265632566373,22.055234175,0.128206012643,0.837580819153,0.366769917586,532.685070995,1.3879832330581674,0.65664391227,-105.647670183,0.7908499488156409,-0.3824303407544716,-1.2458070961963628,-1.064382831082943,-0.8776215687692326,-1.5000000000000002,-1.5,-2.0,-2.0,-2.0,9.13712948131,9.54543386338,10.3798115915,10.8374459093,11.7470509652,12.2410642826,12.7235801353,13.8124373104,14.4405289026,16.8651342315,1.0,0.95,0.85,0.8,0.7,0.65,0.6,0.5,0.45,0.3,0.410365955506,0.195367283077,0.245058577716,0.0886389896791,0.0109794413955,0.0153470234168,-0.0477294325728,-0.129614806567,-0.179222688815,-0.273333966389,0.727272727273,0.6,0.7,0.555555555556,0.666666666667,0.75,0.317988713302,0.03401258624819138,0.8648374752382331,0.326587913567,0.07424677983665053,0.8627410266874402,0.357180858955,0.031560190034227595,0.8487198626043868,0.296510992582,0.050484594570221676,0.8043822301103034,0.466224825026,0.0608076149679438,1.9524642113317214,0.427085405571,0.013225500487598584,1.9545606598825143
WellB02_Seq0000/xy07_sliding_s15,0-1,603.8219432361964,30.173864518818178,0.871919566301,0.703829654385,0.04997146072085542,27.53339071019041,1.8053265632566373,25.1592476348,0.133749055635,0.862115526651,0.34488702417,614.794600626,1.3433170431843273,0.647459297679,-147.728881603,0.42356683357417246,0.8845609529305052,-1.1034824103122887,-1.12435926290989,-1.8944380358823052,-1.5000000000000004,-1.5000000000000007,-1.9999999999999998,-2.0,-2.0,9.00161489423,9.40278692961,10.2203826655,11.1298840333,12.1544491894,12.7235801353,12.7235801353,13.8124373104,14.4405289026,16.8651342315,1.0,0.95,0.85,0.75,0.65,0.6,0.6,0.5,0.45,0.3,0.256268650134,0.0508689957534,-0.0156321503708,0.30039998447,0.0410599419337,-0.0818979823815,-0.114748128472,-0.152493032835,-0.206024723493,-0.318920832801,0.727272727273,0.6,0.7,0.666666666667,0.777777777778,0.875,0.417899219258,0.03401258624819138,1.1743653848379496,0.446950334809,0.07424677983665053,1.4306018396020046,0.441449520353,0.031560190034227595,1.6914064765864836,0.426552965531,0.050484594570221676,1.793563574206883,0.559287016768,0.0608076149679438,1.9524642113317214,0.538623235631,0.013225500487598584,1.9545606598825143
WellB02_Seq0000/xy07_sliding_s15,0-2,578.9539156878684,107.24529873145958,0.853886116135,0.662483883035,0.18523978476601025,27.53339071019041,1.8053265632566373,24.1230798203,0.334233396332,0.862247143188,0.480928283516,578.660728129,1.5330855008892386,0.626598730519,-63.3306345091,1.041096484197416,-0.03814138162834402,-0.25665772531141196,-1.2460509082367057,-1.8876760896487523,-1.499999999999999,-1.5000000000000002,-2.0,-2.0,-2.0,9.65996847514,10.095790699,10.9949162901,12.0076888079,13.1673008524,13.8208361035,13.8208361035,15.1291444723,15.1291444723,17.5024985698,1.0,0.95,0.85,0.75,0.65,0.6,0.6,0.5,0.5,0.35,0.199148540109,-0.11622213741,0.00227084054718,0.339601883389,0.0199801356493,-0.102199001616,-0.0945150940197,-0.168957125482,-0.212335825337,-0.290623750392,0.727272727273,0.7,0.8,0.777777777778,0.888888888889,0.875,0.41467642079,0.03401258624819138,1.1743653848379496,0.381599507927,0.07424677983665053,1.4306018396020046,0.388497237728,0.031560190034227595,1.6914064765864836,0.376331716701,0.050484594570221676,1.793563574206883,0.560241637082,0.0608076149679438,1.9524642113317214,0.387843120997,0.013225500487598584,1.527382158371542
WellB02_Seq0000/xy10_sliding_s15,0-0,173.44872592463835,129.01613697518613,0.827255354243,0.91864852071,0.7438286807090314,10.448444860360791,1.9510622747621305,7.22703024686,1.76987971809,0.792254766576,-0.239348415778,15.6004846363,1.0666472184370452,0.572397443733,77.9133160212,1.3734452439515055,3.639914373747569,0.8594297628368257,-0.16872585680719698,-0.7189185285214426,-1.5,-1.4999999999999996,-1.9999999999999998,-2.0,-2.0,6.2483543745,6.2483543745,6.2483543745,6.38386447433,6.89903320804,8.39193244252,9.59953323407,10.0991357081,10.0991357081,11.4278494915,1.0,1.0,1.0,0.95,0.75,0.4,0.25,0.2,0.2,0.05,0.448898225305,0.155083184764,-0.230781465109,-0.398399209523,-0.425549502289,-0.0248007536027,-0.108572084117,0.10450635016,-0.220944343523,-0.254786407373,0.181818181818,0.3,0.2,0.222222222222,0.0,0.125,0.325415062176,0.011932527064840413,0.6339471804377201,0.310503406386,0.022881025407154185,0.6176773951244414,0.343212228302,0.029544870031354874,0.7051325575011789,0.327267860074,0.009046134571345961,0.5721966216529241,0.371851089355,0.061105586704973056,0.7100848460130081,0.371069089554,0.02275045031790379,0.6207627309048722
WellB02_Seq0000/xy10_sliding_s15,0-1,175.79107309499273,132.39426762515072,0.828491725097,0.924556213018,0.7531341910269155,10.448444860360791,1.9510622747621305,7.32462804562,1.7760780959,0.822202763257,-0.24210818094,15.6203095508,1.054939146762976,0.595416729704,80.6013260178,1.3482446959836363,-0.26204322745753617,1.7596914146397094,-1.8156726803896674,-0.8324111860458165,-1.5000000000000009,-1.5000000000000002,-2.0,-2.0,-1.9999999999999998,6.17719999796,6.17719999796,6.17719999796,6.4602324196,7.03401833293,8.39193244252,9.59953323407,10.0991357081,10.0991357081,11.4278494915,1.0,1.0,1.0,0.9,0.7,0.4,0.25,0.2,0.2,0.05,0.4341477638,0.150765623597,-0.247081891176,-0.401921128295,-0.421158515733,0.0229871975394,-0.0730613711297,0.124034319781,-0.228947118388,-0.250915555986,0.272727272727,0.4,0.3,0.333333333333,0.111111111111,0.25,0.339519835847,0.061472030009867236,0.6339471804377201,0.296924194694,0.022881025407154185,0.6176773951244414,0.352899034202,0.029544870031354874,0.7051325575011789,0.320757470264,0.009046134571345961,0.5721966216529241,0.384826875345,0.06134145492060903,0.7100848460130081,0.338876907769,0.02275045031790379,0.6207627309048722
WellB02_Seq0000/xy10_sliding_s15,0-2,170.36285700420476,128.3610225107294,0.835498250472,0.924556213018,0.7534566205799267,10.448444860360791,1.9510622747621305,7.09845237518,1.78150537413,0.798517288438,-0.190678289525,16.4911211769,1.09546664283606,0.626077233866,78.1673844066,1.2509868525072525,3.3315337036830837,-0.21539620305091534,-0.11978798891403208,-0.9929235598402122,-1.4999999999999991,-1.499999999999999,-2.0,-2.0,-2.0,6.07016389276,6.07016389276,6.07016389276,6.53627539069,7.17759651924,8.39193244252,9.59953323407,10.0991357081,10.0991357081,11.4278494915,1.0,1.0,1.0,0.85,0.65,0.4,0.25,0.2,0.2,0.05,0.398144550534,0.205921628654,-0.204563415055,-0.28472069403,-0.323881366519,0.0148052869183,-0.225725349011,-0.0651989105379,-0.307076467639,-0.188163905673,0.363636363636,0.5,0.4,0.444444444444,0.222222222222,0.375,0.328381976698,0.061472030009867236,0.6339471804377201,0.273706842351,0.022881025407154185,0.6176773951244414,0.344205115649,0.029544870031354874,0.7051325575011789,0.273076751776,0.009046134571345961,0.5721966216529241,0.361754596519,0.06134145492060903,0.7100848460130081,0.278476200731,0.02275045031790379,0.540388273779349
WellB02_Seq0000/xy10_sliding_s15,1-0,335.94552151254436,67.79970501410745,0.838830693055,0.830902366864,0.2018175587185965,12.430446492383107,1.0049875621120772,13.997730063,1.0507937948,0.675633317126,-0.181705310287,89.0905835934,0.7127741284396749,0.600171452871,-31.1791934737,-0.4428054077371879,2.2843370568861667,0.2287571905961161,-0.6353641620359531,-1.5267751505069345,-1.4999999999999991,-1.5,-2.0,-2.0,-2.0,5.12112023815,5.28890091617,6.36146626118,8.57749362406,9.95868926399,9.95868926399,9.95868926399,10.5229033867,11.8535620013,11.8535620013,1.0,0.95,0.7,0.4,0.3,0.3,0.3,0.25,0.15,0.15,0.451656564623,-0.244689605632,-0.422201846531,-0.0746411804421,0.271610358534,0.388651694355,0.193961011439,-0.191083740871,-0.582035406949,-0.482671249548,0.818181818182,0.8,0.9,0.888888888889,0.777777777778,0.875,0.448215231773,0.10775954193187548,0.9597349935396037,0.329036554336,0.06300930700708299,0.6868940209374983,0.447208906248,0.007608717647159982,1.0429413627516022,0.316774160905,0.006581631724387931,0.732810555559002,0.454349920777,0.09657545661318372,0.7755410366739314,0.315853235953,0.014119078799787008,0.6495943084711527
WellB02_Seq0000/xy10_sliding_s15,1-1,329.916939309821,91.0968715159858,0.825501600604,0.787997633136,0.276120625108121,12.430446492383107,1.0049875621120772,13.7465391379,1.08551828489,0.709232889677,-0.196187526273,88.5523946643,0.6788680493395448,0.607144138017,-6.10583890663,-0.45222602864222416,-0.8990683756651112,-1.1763132475650924,-1.083602504657984,-1.4850483282928129,-1.5000000000000004,-1.4999999999999998,-2.0,-2.0,-2.0000000000000004,5.14147694511,5.31032902875,6.36146626118,8.57749362406,9.95868926399,9.95868926399,9.95868926399,10.5229033867,11.8535620013,11.8535620013,1.0,0.95,0.7,0.4,0.3,0.3,0.3,0.25,0.15,0.15,0.44836337068,-0.260289791114,-0.44082412671,-0.0941165862385,0.28530323717,0.395545513657,0.17940218017,-0.219178035042,-0.609738196537,-0.497430083478,0.727272727273,0.7,0.8,0.777777777778,0.666666666667,0.75,0.55643228168,0.10775954193187548,1.6915634184450845,0.472989179548,0.06300930700708299,1.712715634818785,0.548445434499,0.007608717647159982,1.3747931372587516,0.438345577587,0.006581631724387931,1.3961615636543445,0.45484320404,0.09657545661318372,0.7755410366739314,0.325936167254,0.014119078799787008,0.6495943084711527
WellB02_Seq0000/xy10_sliding_s15,1-2,323.1297113284183,82.25448316049393,0.800337336432,0.751844792376,0.25455561737835125,12.430446492383107,1.0049875621120772,13.463737972,1.02069037677,0.652582619805,-0.173918529107,92.6426171604,0.6754484359469651,0.550341474204,-12.9485210408,-0.5349396954639616,2.7345067711685553,0.6728762697193473,-1.1339608704825188,-0.7555405922250218,-1.5,-1.5000000000000004,-2.0,-2.0,-2.0,4.95655531009,5.11567467611,6.09729249688,8.78319004885,10.5229033867,10.5229033867,10.5229033867,10.5229033867,11.8535620013,11.8535620013,1.0,0.95,0.7,0.35,0.25,0.25,0.25,0.25,0.15,0.15,0.420885830409,-0.24992930883,-0.431048925314,-0.00590464973637,0.238969426392,0.266348894465,-0.0128460592579,-0.296567645966,-0.49553138288,-0.40473401462,0.636363636364,0.6,0.7,0.666666666667,0.555555555556,0.625,0.658444764105,0.10775954193187548,1.6915634184450845,0.548362749377,0.06300930700708299,1.712715634818785,0.679543408227,0.007608717647159982,1.6204006924053596,0.540247277158,0.006581631724387931,1.6415529087790601,0.550972892472,0.09657545661318372,1.1938600191028652,0.44374165352,0.014119078799787008,1.2152284454984583
WellB02_Seq0000/xy12_sliding_s15,0-0,163.11774772924244,23.5306183514161,0.355893401459,0.32314852071,0.14425541474784426,5.7286996779373895,0.4669047011971754,6.79657282205,0.446705066802,0.8942055931,0.42232648463,37.9079713001,1.602399664385384,0.136775216708,-24.5284089616,2.1222644615267257,-1.4091507308206026,0.9979454150768103,-1.1415041602418925,-1.9535739456323213,-1.4999999999999998,-1.5000000000000002,-2.0,-2.0,-2.0,3.09651910936,4.15650932573,4.76232353674,5.67181193334,6.05031794834,6.41927546708,0.0,0.0,0.0,0.0,0.9,0.55,0.4,0.25,0.2,0.1,0.0,0.0,0.0,0.0,0.428498450653,0.137395133868,0.153056129818,0.0462799518801,0.0846770530702,-0.201171633192,-0.243464163931,-0.307098843125,-0.391417934335,-0.396478343213,0.545454545455,0.7,0.7,0.777777777778,0.777777777778,0.75,0.634192841383,0.08994570329987689,1.7059912404185675,0.66999709237,0.0072782399533391105,2.2149418584045377,0.706086539575,0.011498940678965624,1.7494716437357718,0.601174233414,0.040267918073995164,1.6423689223420894,0.676603406364,0.2751401709028606,1.6226377758205113,0.655640872975,0.2349215231441459,1.7771132868585824
