Well/XY,cell_id,total_distance,net_distance,linearity,spearmanrsq,progressivity,max_speed,min_speed,avg_speed,MSD_slope,hurst_RS,nongauss,disp_var,disp_skew,rw_linearity,rw_netdist,rw_kurtosis01,rw_kurtosis02,rw_kurtosis03,rw_kurtosis04,rw_kurtosis05,rw_kurtosis06,rw_kurtosis07,rw_kurtosis08,rw_kurtosis09,rw_kurtosis10,avg_moving_speed01,avg_moving_speed02,avg_moving_speed03,avg_moving_speed04,avg_moving_speed05,avg_moving_speed06,avg_moving_speed07,avg_moving_speed08,avg_moving_speed09,avg_moving_speed10,time_moving01,time_moving02,time_moving03,time_moving04,time_moving05,time_moving06,time_moving07,time_moving08,time_moving09,time_moving10,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,autocorr_6,autocorr_7,autocorr_8,autocorr_9,autocorr_10,p_rturn_9_5,p_rturn_9_6,p_rturn_10_5,p_rturn_10_6,p_rturn_11_5,p_rturn_11_6,mean_theta_9_5,min_theta_9_5,max_theta_9_5,mean_theta_9_6,min_theta_9_6,max_theta_9_6,mean_theta_10_5,min_theta_10_5,max_theta_10_5,mean_theta_10_6,min_theta_10_6,max_theta_10_6,mean_theta_11_5,min_theta_11_5,max_theta_11_5,mean_theta_11_6,min_theta_11_6,max_theta_11_6
WellB02_Seq0000/xy25,0-0,169.1046750023489,21.205895406702375,0.0215958034688,0.0508790773927,0.12540100033548937,4.10893319488161,0.38818552265636386,8.90024605276,0.590464577957,0.738290671351,2.05627322257,116.127109276,2.7727627247650446,-0.184561976112,-35.0842031186,7.246110578966681,-0.09012044360945293,0.5946209991412461,-1.536321228295378,-1.5000000000000002,-1.4999999999999996,-2.0,-2.0,-2.0,-3.0,3.17652882007,3.62557834389,3.94321807443,4.99066028469,6.24097203967,6.24097203967,0.0,0.0,0.0,0.0,0.8666666666666667,0.6666666666666666,0.5333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.186729035721,0.435427077282,0.0155736287847,0.17938289729,-0.00632323456745,-0.0417257188175,-0.0544276666943,-0.113582114833,-0.281911644928,-0.334596530922,0.5,0.4,0.6,0.5,0.25,0.333333333333,1.34912367929,0.8608650370661581,2.1612707024158695,1.31809437777,0.6179596634443558,2.1108848945285392,1.4012083927,0.904194059818111,1.9954861518905465,1.47506310938,1.186527556716728,1.9451003440032157,1.26205588107,0.9717771651934857,1.581312151178303,1.31206130774,1.192995575052697,1.378415546957344
WellB02_Seq0000/xy25,0-1,178.45601607027092,37.37499297658793,0.541221038459,0.480572106959,0.20943532081244445,4.980575468758601,0.7508128928035394,9.39242189844,1.07033213004,0.698167977639,-0.253629613119,33.9036862464,0.75107860641707,0.337068176696,-22.027898912,-0.34961283017751743,-1.7000112231238935,-1.9913075486090623,-1.9890828340755045,-1.5000000000000002,-1.4999999999999996,-2.0,-2.0,-2.0,-3.0,4.09226758108,4.50333662037,5.09541276999,5.48479778036,6.59248473006,6.91521519836,7.59488038089,0.0,0.0,0.0,0.9333333333333333,0.8,0.6,0.4666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.0,0.0,0.0,0.390598787847,-0.320864259908,-0.332083823266,-0.0131972980691,0.110900244721,-0.00664078343416,-0.468592132859,-0.485559125866,-0.23003229078,0.0165953272938,0.0,0.0,0.0,0.0,0.0,0.0,0.706677830626,0.2682157120304859,1.025372029162942,0.556629706162,0.1172417126000448,0.8903968405668886,0.844073908729,0.5419588923401347,1.035183353921854,0.683063339615,0.552933666879996,0.7896648009520533,0.882775092525,0.6199428875964065,1.1480484713710075,0.688364752021,0.4602475463704777,0.9650926974546206
WellB02_Seq0000/xy25,0-2,438.4905196991185,66.34059089275588,0.061351647829,0.0543275481938,0.15129310193131923,14.140905204406106,0.9018669524935478,23.0784484052,0.510216653468,0.775863440251,-0.0700004962429,220.653035462,1.4368011749180243,-0.183059801229,-79.6203327536,1.6996052854160073,-1.4718011495470502,-0.947750553107964,-0.894907214120201,-1.5,-1.5,-2.0,-2.0,-2.0,-3.0,6.06905186207,6.49104395428,6.49104395428,6.80128376094,8.12029553922,9.27419080971,11.1360878293,12.8353115103,17.1767332168,17.1767332168,0.8666666666666667,0.8,0.8,0.7333333333333333,0.4666666666666667,0.3333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.431109307259,0.0902168386438,-0.114571488225,-0.0549689394196,-0.638302918526,-0.649591104822,-0.440624928473,0.0103146998216,-0.158894833765,0.268315483846,0.833333333333,0.8,0.6,0.5,0.5,0.666666666667,0.609413635574,0.11166301360491596,1.197016741954425,0.705817205638,0.15409258496982806,1.1319201061432727,0.62433006058,0.0503185868946757,1.4045930369111965,0.596592715992,0.006788660399215719,1.4696896727223487,0.593255311681,0.1206061109073456,1.251108796192929,0.384448137643,0.12793127201841598,0.812087681964142
WellB02_Seq0000/xy25,1-0,336.78291892056103,135.7315364976026,0.899887620386,0.849723557013,0.4030238140718128,19.18792328523336,0.8438009243891875,17.7254167853,1.21956705492,0.765613213124,0.365160531952,214.15269488,1.808512109809369,0.677740592457,23.626157463,3.2614913816622995,0.7772233354987161,-0.05413755765618555,-1.115457957410528,-1.5000000000000002,-1.4999999999999998,-2.0,-2.0,-2.0,-3.0,11.0010823455,11.0010823455,11.0010823455,12.216967164,13.6371816284,14.4216830787,14.4216830787,15.1802650499,16.0613060513,16.0613060513,1.0,1.0,1.0,0.8666666666666667,0.7333333333333333,0.6666666666666666,0.6666666666666666,0.6,0.5333333333333333,0.5333333333333333,0.0670546390974,-0.161907657628,0.142619472571,0.181797350689,0.206442419972,-0.19917336187,-0.163212761932,-0.206824419274,-0.330924405998,-0.167252551644,0.833333333333,1.0,1.0,1.0,1.0,1.0,0.795646812199,0.2134761970327881,2.4790510747143863,0.378849946554,0.15070036750814803,0.5210448805143336,0.424635104504,0.19963625030416843,0.5281074647424879,0.356317958226,0.1368604207795289,0.48698478602926004,0.389052800918,0.18531463004489435,0.548115104352732,0.3422507845,0.12253880052025508,0.5069924256395041
WellB02_Seq0000/xy25,1-1,544.3317695864273,28.443101096751096,0.002179221537,0.00985018938323,0.052253244594489885,13.724153890131053,1.5658863304850916,28.6490405045,-0.159970222286,0.632561391173,-0.327310605689,307.476360531,0.34073671507915787,-0.232884648036,-152.749340449,-0.6942220473109963,-1.067070381201794,1.055100023813866,-1.200484462845583,-1.4999999999999991,-1.4999999999999998,-2.0,-1.9999999999999998,-2.0,-3.0,7.73339871178,7.73339871178,7.73339871178,8.06957864967,8.31323857718,8.75738769601,9.54286167992,10.2633311774,11.0503784849,12.9578933167,1.0,1.0,1.0,0.9333333333333333,0.8666666666666667,0.7333333333333333,0.5333333333333333,0.4,0.26666666666666666,0.13333333333333333,0.0478091338111,0.0419961362401,-0.336916717719,-0.383721759147,-0.276101922223,0.130140500088,-0.0322672698098,0.267120612882,0.222209515164,-0.0923890470637,0.333333333333,0.4,0.8,0.75,1.0,1.0,0.96496261561,0.448981997201651,1.302003032131205,1.00157280091,0.6618339664827377,1.321150283858434,0.585497135324,0.4161164059695785,0.7566767345089994,0.585816216568,0.4812399703121326,0.7156833398665636,0.972474061698,0.5264621264432032,1.2461201071576593,0.850655676436,0.49479366248526996,1.2032506224079937
WellB02_Seq0000/xy25,1-2,945.6754001842447,146.28882390668122,0.89740674132,0.81678105037,0.15469242816105816,30.89213492136792,2.1808255317654104,49.7723894834,0.676870199435,0.939291297489,0.0867840810815,2416.09526308,0.9007328264950967,0.684213743909,-168.499406806,-0.14593651895956272,-1.1037712123744363,-1.508270218411075,-1.916554615036175,-1.5,-1.5000000000000093,-2.0,-2.0,-2.0,-3.0,13.3561807626,14.1899473284,16.1816166039,16.1816166039,17.2271520734,19.8914862123,19.8914862123,19.8914862123,21.3410758093,21.3410758093,1.0,0.9333333333333333,0.8,0.8,0.7333333333333333,0.6,0.6,0.6,0.5333333333333333,0.5333333333333333,0.454228252305,0.0881867171622,-0.185705880675,-0.279727338035,-0.404438877618,0.129242974457,0.213400589553,-0.0124190314022,-0.403221998735,-0.749066602129,0.166666666667,0.6,0.0,0.25,0.0,0.0,0.151520660084,0.002321369777462212,0.46984416850178157,0.156638966218,0.024288650286254206,0.4610237943213329,0.187041244644,0.0009430705825625844,0.5392974944971052,0.229310252395,0.03033847529556873,0.5304771203166566,0.178292684406,0.014136860953870855,0.5935485652098573,0.22524837011,0.01714468492411721,0.5847281910294085
WellB04_Seq0002/xy01,0-0,250.62011076641951,29.3068251436417,0.510057007271,0.453850415512,0.11693724439758131,9.119667537799856,0.6678353090396222,13.1905321456,0.194916336647,0.960935416424,-0.204894742568,59.5479568929,0.8702277959323937,0.301919445334,-54.1174251159,0.3904127550730401,-0.6519136896175004,-0.11683665003713095,-0.953531785460831,-1.5000000000000002,-1.5000000000000002,-2.0,-2.0,-1.9999999999999998,-3.0,4.09315236068,5.04617453097,6.782362175,7.42731747036,7.42731747036,7.88219917488,9.17073947221,10.6639439233,10.6639439233,10.6639439233,0.9333333333333333,0.6666666666666666,0.4,0.3333333333333333,0.3333333333333333,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.57476556465,0.474232430025,0.387300698711,0.164898583761,0.0300156174095,-0.234235673318,-0.351500255955,-0.407538088545,-0.657830248608,-0.767348331969,0.5,0.4,0.4,0.5,0.25,0.333333333333,0.508728400924,0.028562688603489702,1.6285998430634359,0.587984875583,0.0886921336604258,1.6181987696238649,0.334779047886,0.01170379168255713,0.7931600173484905,0.418881863342,0.03959245238869392,0.7977293659567433,0.42729187173,0.05048637276714947,0.8598800402513005,0.551139605432,0.11790484904447414,0.8595188304177537
WellB04_Seq0002/xy01,0-1,363.0672224134622,18.20841563673232,0.0193130326544,0.0212764995195,0.05015163725244388,10.99779414246331,2.312657345998297,19.1088011797,0.0345903562546,0.794569025373,-0.141212584347,172.230068937,0.8990256066650438,-0.184550190576,-102.646254529,0.16250359381655866,-0.698102145724139,-0.4268183923117803,-1.6080644385065026,-1.5,-1.4999999999999996,-2.0,-2.0,-2.0,-3.0,5.88788863863,5.88788863863,6.1077022939,6.1077022939,7.03710945367,7.91528843667,9.36596401749,10.3463474793,10.3463474793,10.3463474793,1.0,1.0,0.9333333333333333,0.9333333333333333,0.6,0.4,0.2,0.13333333333333333,0.13333333333333333,0.13333333333333333,-0.0885156376464,0.125654928935,0.13411665722,0.295651476906,-0.184682087093,0.122069277704,-0.134010816393,-0.300215787799,0.266282175719,-0.198530782107,0.5,0.6,0.6,0.75,0.75,0.666666666667,0.644843093496,0.033521527326200305,1.5253105830907319,0.716265914993,0.04149204805954525,1.5410451135420993,0.61489448553,0.13027886446954415,1.25161681420937,0.66856289351,0.3001767375812874,1.20947377117359,0.587199579929,0.27566019530716673,1.1542475655058821,0.607688855193,0.2643922061656491,1.1963906085416622
WellB04_Seq0002/xy01,0-2,724.9445928203959,80.39633076204406,0.00481629935433,0.114477924134,0.11089996609156329,38.1120359466665,3.0433146403222713,38.1549785695,0.327425022818,0.807827353077,0.294087596397,1381.27360923,1.3876341760391007,-0.208107528503,-160.916941947,0.8252193919476722,1.4529308363263391,-0.45977140788184645,-1.4683898254105276,-1.5000000000000004,-1.5,-2.0,-1.9999999999999998,-1.9999999999999998,-3.0,12.581905071,13.3890283336,14.256839159,14.256839159,14.256839159,15.8230968809,15.8230968809,15.8230968809,17.4433674785,18.4426778131,1.0,0.9333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.6,0.5333333333333333,0.541569188571,0.103555131409,-0.225662304138,-0.308614995269,-0.190034702461,-0.149475320406,0.0193602608838,0.162727347172,-0.0231155838427,-0.29112176366,0.833333333333,0.8,0.8,0.75,0.75,0.666666666667,1.27538228749,0.5754671678880614,1.791544347599032,1.2331905849,0.5702391998077583,1.7721599791647218,1.27123246105,0.5568314197791004,1.7438361155747977,1.11114393337,0.5516034516987971,1.5965169601137617,1.27223721337,0.450500729766859,1.751867741970365,1.10125414108,0.44527276168655544,1.5653651806888014
WellB04_Seq0002/xy15,0-0,107.16326338018413,4.599445618767601,0.615894841501,0.0961046652184,0.0429199846448321,5.165710406130005,0.19924858845170784,5.64017175685,0.046646032216,0.663691265785,1.23851571361,47.4340304007,2.2565092080266655,0.401591886438,-31.0721326736,3.9568421052880147,-0.22720118738117856,-1.4849217795857186,-1.7651164227172698,-1.4999999999999996,-1.4999999999999998,-1.9999999999999998,-1.9999999999999998,-2.0,-3.0,2.46576860832,4.19112470603,4.19112470603,5.14091081424,5.14091081424,0.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.2,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,-0.0960645311603,-0.101435307715,0.568230107138,-0.0162411900249,-0.210128255914,-0.0035040044012,0.0414089096417,-0.0892436665773,-0.175201895655,-0.0647631863355,0.666666666667,0.4,0.4,0.75,0.5,0.666666666667,0.410013013469,0.013102551807611917,0.7294956605786559,0.49671248824,0.13378732336545543,0.9465243214175982,0.43758465488,0.10325583645871089,1.1573717931303755,0.51326606269,0.14395526975253928,1.2780565646882,0.572042328654,0.23056730660629876,1.1467374859596278,0.578315414788,0.24079579819506525,1.1060380526657978
