Well/XY,cell_id,total_distance,net_distance,linearity,spearmanrsq,progressivity,max_speed,min_speed,avg_speed,MSD_slope,hurst_RS,nongauss,disp_var,disp_skew,rw_linearity,rw_netdist,rw_kurtosis01,rw_kurtosis02,rw_kurtosis03,rw_kurtosis04,rw_kurtosis05,rw_kurtosis06,rw_kurtosis07,rw_kurtosis08,rw_kurtosis09,rw_kurtosis10,avg_moving_speed01,avg_moving_speed02,avg_moving_speed03,avg_moving_speed04,avg_moving_speed05,avg_moving_speed06,avg_moving_speed07,avg_moving_speed08,avg_moving_speed09,avg_moving_speed10,time_moving01,time_moving02,time_moving03,time_moving04,time_moving05,time_moving06,time_moving07,time_moving08,time_moving09,time_moving10,autocorr_1,autocorr_2,autocorr_3,autocorr_4,autocorr_5,autocorr_6,autocorr_7,autocorr_8,autocorr_9,autocorr_10,p_rturn_9_5,p_rturn_9_6,p_rturn_10_5,p_rturn_10_6,p_rturn_11_5,p_rturn_11_6,mean_theta_9_5,min_theta_9_5,max_theta_9_5,mean_theta_9_6,min_theta_9_6,max_theta_9_6,mean_theta_10_5,min_theta_10_5,max_theta_10_5,mean_theta_10_6,min_theta_10_6,max_theta_10_6,mean_theta_11_5,min_theta_11_5,max_theta_11_5,mean_theta_11_6,min_theta_11_6,max_theta_11_6
WellC07_Seq0014/xy14_sliding_s17,0-0,19.05000118430806,0.16124515496599356,5.39624651085e-05,0.00939514487729,0.008464312070427327,0.28482275190019957,0.016124515496597946,0.656896592562,-0.310848485056,0.495399598078,-0.230891126165,0.169369870164,0.7654060720437686,-0.207966232052,-4.92705397138,-0.17602966608573434,3.407836424275011,-1.5081789441420232,-1.7621696187131701,-0.19810923607535091,-0.9750093825490165,-1.9526034384336977,-1.4999999999999998,-1.4999999999999998,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255006202254,-0.103579468972,-0.137896774384,-0.0371500192287,0.0682476891551,-0.176422842722,-0.330063106119,-0.273378177639,-0.134169792204,0.18814469776,0.5,0.466666666667,0.4,0.5,0.428571428571,0.461538461538,0.763215209936,0.369278491504965,1.9002855431500136,0.747889822054,0.347592523587395,1.6390131530155119,0.71342592968,0.05855664471733864,1.454809037838408,0.74469537793,0.06794886811441715,1.4205284060726253,0.751286918298,0.008946265737267855,1.4311521164332122,0.791218714516,0.025334366028498565,1.723389414432283
WellC07_Seq0014/xy14_sliding_s17,0-1,18.818754545829503,0.4809365862564052,3.425172113e-05,0.00700174360136,0.025556238861885117,0.28482275190019957,0.016124515496597946,0.648922570546,-0.241624516795,0.447519733305,-0.199372275667,0.181886459432,0.7301488872015155,-0.227165080196,-4.54559603115,-0.2833715970788169,-1.2528831684626027,-1.081380239164791,-1.679179453888798,-1.610383402738424,-0.9423880407126859,-1.1838570751818656,-1.5000000000000002,-1.5,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291149830528,-0.134712040249,-0.251644237037,-0.0820248145018,0.0869182106467,-0.184705348404,-0.289513935496,-0.300140478738,-0.0488492160375,0.223071224252,0.5625,0.533333333333,0.466666666667,0.571428571429,0.5,0.538461538462,0.790722979146,0.369278491504965,1.9002855431500136,0.75089538682,0.347592523587395,1.6390131530155119,0.68800653444,0.05855664471733864,1.454809037838408,0.66723597026,0.06794886811441715,1.4205284060726253,0.776833688952,0.008946265737267855,1.4311521164332122,0.759241441867,0.025334366028498565,1.723389414432283
WellC07_Seq0014/xy14_sliding_s17,0-2,19.012497253810068,0.7924645102463287,0.00333289181129,5.72644400509e-05,0.04168124258834648,0.29134172375408096,0.016124515496597946,0.65560335358,-0.123424934321,0.431614305506,-0.245096988278,0.172808419499,0.6803115402491042,-0.229793777882,-4.28581723002,-0.26121390334937455,3.375388843658853,-1.4219715946566918,-1.5944071300897522,-1.5954854692122409,-1.9728787345152707,-1.1943978742091839,-1.5000000000000002,-1.4999999999999998,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.238124953305,-0.144322457031,-0.308470990957,0.0679045534001,0.207603165666,-0.16095862183,-0.311877875179,-0.320390794645,0.0575888743143,0.223675259452,0.625,0.533333333333,0.466666666667,0.5,0.5,0.461538461538,0.753351828636,0.03968564268637544,1.9002855431500136,0.738697172331,0.31195780330156836,1.6390131530155119,0.62083247604,0.05855664471733864,1.454809037838408,0.611404792555,0.03963576618318024,1.4205284060726253,0.702964603448,0.008946265737267855,1.3817623920732518,0.762781722705,0.025334366028498565,1.723389414432283
WellC07_Seq0014/xy14_sliding_s17,1-0,48.164624782403315,31.93443909011076,0.9433150004,0.912325855284,0.6630268425090656,1.5581283644167272,0.006000000000017281,1.66084913043,1.62103033087,0.761697908723,-0.366989639671,0.843886085389,0.2160627712727606,0.735840181906,19.0695570447,-1.0058684799730315,-0.7900554905352593,-1.4221596332569466,-1.1689919834640055,-1.5033858117632932,-0.9618995717984737,-1.9752569055413527,-1.4999999999999996,-1.4999999999999996,-2.0,1.53515605918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0181723884081,-0.206472549556,0.0725894646003,0.233405687468,-0.179137463139,0.0222357559731,-0.0888917061921,-0.151350056205,0.324681773107,-0.0241202040576,0.75,0.666666666667,0.733333333333,0.642857142857,0.642857142857,0.538461538462,0.307804764283,0.011307184087338981,1.9123045350400452,0.31301265534,0.008663857078099179,1.9982272387429834,0.203175545118,0.03604173384468429,0.463755097909082,0.206686582006,0.008302256756084616,0.60504217029214,0.156994619957,0.02001206233280489,0.33726927913078614,0.185111665514,0.03595162887708651,0.47855635151384485
WellC07_Seq0014/xy14_sliding_s17,1-1,46.03446243789717,28.379964763896275,0.94312513663,0.911475796299,0.6164938887291731,1.5581283644167272,0.006000000000017281,1.58739525648,1.62559391709,0.745331454658,-0.346095781106,0.784058784179,0.32768865220553106,0.671058146764,16.0840539795,-0.798854737703127,-0.7461248705790888,-1.2850622869011692,-1.3149880154112734,-1.411364424321103,-1.837838272172278,-1.7891548188784636,-1.4999999999999996,-1.4999999999999996,-2.0,1.52113101607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0531353539701,-0.177707791362,0.0987680606679,0.179789913896,-0.176935538798,-0.142712693984,-0.0522354380895,-0.0732983569967,0.335524717253,-0.0839308760371,0.75,0.666666666667,0.733333333333,0.642857142857,0.642857142857,0.538461538462,0.294183019473,0.011307184087338981,1.9123045350400452,0.304245577907,0.008663857078099179,1.9982272387429834,0.203608793409,0.03604173384468429,0.463755097909082,0.204551657874,0.008302256756084616,0.60504217029214,0.159252475885,0.02001206233280489,0.33726927913078614,0.18123951867,0.03595162887708651,0.47855635151384485
WellC07_Seq0014/xy14_sliding_s17,1-2,45.089188221962054,27.50142541760348,0.945598783732,0.911475796299,0.6099339221238869,1.5581283644167272,0.006000000000017281,1.55479959386,1.63152842694,0.710972074859,-0.382783067256,0.723431204768,0.2891554035642367,0.710073914929,15.4579995502,-0.743764739396457,-0.6562855535537904,-1.5422061553124384,-1.7508080371120562,-1.7195967313228895,-1.8269357760892662,-1.7232428222226073,-1.5000000000000002,-1.5000000000000004,-1.9999999999999998,1.52229948406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0203079701727,-0.188287625318,0.185798171129,0.137722329861,-0.0016440614776,-0.15714512321,-0.145899993517,-0.121382019643,0.40122906201,-0.171969998686,0.75,0.666666666667,0.733333333333,0.642857142857,0.642857142857,0.538461538462,0.292237014818,0.011307184087338981,1.9123045350400452,0.313646697769,0.027447053437966756,1.9982272387429834,0.196930547616,0.03604173384468429,0.463755097909082,0.204622451523,0.008302256756084616,0.60504217029214,0.163622718729,0.02001206233280489,0.33726927913078614,0.184378327327,0.03595162887708651,0.47855635151384485
WellC07_Seq0014/xy14_sliding_s17,2-0,39.80057044665274,0.975756117070269,0.751382520265,0.381988590667,0.024516133967932383,0.9341177655949006,0.03999999999996362,1.37243346368,-0.421939731789,0.944863131254,0.131436082081,1.56676498058,1.179133468463051,0.529221527564,-9.65506778013,-0.0760806123509763,1.4391333131241915,-0.29071904392820613,0.20830681803132922,-1.7995229932978523,-1.7876587303283953,-1.9449629219941862,-1.4999999999999996,-1.4999999999999993,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327265780122,-0.275906117937,0.0922157057502,0.419390089108,0.190768698174,-0.0919788000219,-0.242674520571,-0.0516304811268,0.0295659643299,-0.331784577741,0.6875,0.6,0.733333333333,0.714285714286,0.714285714286,0.615384615385,0.325574496689,0.016940016232941973,1.032527680830745,0.269660051813,0.0020222268467068316,1.0389063793013715,0.493468343689,0.023645310432671627,1.6232393731923296,0.480164355498,0.030024008903290288,1.5693770141652896,0.40089584679,0.019730966140894965,1.2951505448477403,0.291345238314,0.009388421711868261,1.0639434926131697
WellC07_Seq0014/xy14_sliding_s17,2-1,39.55318399008558,0.7211102550928672,0.757043771677,0.37467562208,0.018231408507431945,0.9341177655949006,0.03999999999996362,1.36390289621,-0.471965129663,0.840983515839,0.132555526347,1.57848024541,1.1665889926272786,0.511449683988,-9.84363615064,-0.0874343959706354,-1.1110871461627614,-1.5983458191644784,-0.7850680202782625,-1.5527269070011898,-1.079159929154699,-1.9228570971345462,-1.5000000000000002,-1.4999999999999998,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347302472414,-0.25444552856,0.0685293921605,0.398804639407,0.203450433792,-0.149201407883,-0.218466711216,-0.0564918984854,-0.0955323959086,-0.433517596751,0.75,0.6,0.733333333333,0.785714285714,0.714285714286,0.615384615385,0.277275900737,0.016940016232941973,1.032527680830745,0.258802065351,0.0020222268467068316,1.0389063793013715,0.486060761711,0.023645310432671627,1.6232393731923296,0.374446783287,0.030024008903290288,1.5433386869359136,0.318717920274,0.019730966140894965,1.0833849719688953,0.268095448827,0.009388421711868261,1.0639434926131697
WellC07_Seq0014/xy14_sliding_s17,2-2,39.749598861505866,1.2660568707605584,0.759334843497,0.384776075598,0.031850808738264465,0.9341177655949006,0.03999999999996362,1.37067582281,-0.405943576136,0.787289600795,0.145326356378,1.60121116697,1.1657707808530298,0.528636524579,-9.35115239883,-0.10252233130349353,1.2966890754540072,-0.46996049140449614,-0.5109848896218101,-1.6124096720680523,-1.804124554705147,-1.916383331325192,-1.4999999999999996,-1.4999999999999996,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368410374464,-0.232972616321,0.0735877458622,0.396383570835,0.218381482439,-0.140961603124,-0.275932035574,-0.024882631392,-0.0661672023758,-0.527658689361,0.75,0.533333333333,0.733333333333,0.785714285714,0.642857142857,0.538461538462,0.272154116932,0.016940016232941973,1.032527680830745,0.23172247407,0.0020222268467068316,1.0389063793013715,0.382670631389,0.023645310432671627,1.6232393731923296,0.318721518072,0.014521495277781793,1.5433386869359136,0.334638746649,0.019730966140894965,1.0833849719688953,0.292129305323,0.009388421711868261,1.0639434926131697
WellC07_Seq0014/xy14_sliding_s17,3-0,20.368317008925523,0.46043457732884463,0.0216762523221,0.0280256831392,0.02260543063656557,0.30019327107715477,0.01649242250247219,0.702355758928,-0.15329171215,0.810778139255,-0.31820799424,0.138674293486,0.7676647694386779,-0.177233479364,-4.97998973756,0.21253670411149894,1.9502743215640947,-1.1941225170310577,-1.2740724153504046,-1.1790411684981945,-1.1021044329035632,-1.0984885260356827,-1.5,-1.5,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514386682831,0.203415046425,0.0620961577917,0.0542477910656,-0.0130354610879,-0.313221053965,-0.38241376821,-0.430563324695,-0.487918821215,-0.352225243416,0.5,0.4,0.4,0.357142857143,0.571428571429,0.615384615385,0.766627598093,0.044280632891422186,1.7061849861102367,0.795514166662,0.062465977893589236,1.588548468441862,0.902098032689,0.0018061530518778566,1.6181722220212589,0.889657961804,0.17501477073139562,1.6202547397721423,0.761770740076,0.1443330581799527,1.667737200631233,0.75069538237,0.15621408582978966,1.5563590772763822
